auroc,eer,accuracy_at_eer,sensitivity_at_eer,specificity_at_eer,accuracy_at_sensitivity90,sensitivity_at_sensitivity90,specificity_at_sensitivity90,Method,Dataset
63.3 (+/- 9.3),42.5 (+/- 7.2),57.4 (+/- 7.2),57.5 (+/- 7.1),57.4 (+/- 7.3),45.3 (+/- 7.4),90.6 (+/- 1.1),22.9 (+/- 11.7),RandomForest,b_m_scalar_box_center_xyz_RandomForest
59.8 (+/- 3.8),44.6 (+/- 5.2),55.8 (+/- 4.8),54.0 (+/- 6.8),56.8 (+/- 3.9),41.3 (+/- 5.2),90.6 (+/- 1.1),17.1 (+/- 7.5),SVM,b_m_scalar_box_center_xyz_SVM
63.5 (+/- 8.9),38.8 (+/- 6.4),61.1 (+/- 6.2),61.5 (+/- 6.9),60.9 (+/- 5.9),41.3 (+/- 8.7),90.6 (+/- 1.1),16.9 (+/- 13.9),NN,b_m_scalar_box_center_xyz_NN
61.0 (+/- 10.8),42.5 (+/- 8.5),57.5 (+/- 8.5),57.2 (+/- 9.0),57.7 (+/- 8.2),42.8 (+/- 14.1),90.6 (+/- 1.1),19.4 (+/- 20.8),LogisticRegression,b_m_scalar_box_center_xyz_LogisticRegression
61.0 (+/- 10.8),41.8 (+/- 7.6),58.2 (+/- 7.5),58.0 (+/- 8.0),58.4 (+/- 7.4),42.8 (+/- 14.1),90.6 (+/- 1.1),19.4 (+/- 20.8),LinearRegression,b_m_scalar_box_center_xyz_LinearRegression
87.8 (+/- 3.6),19.6 (+/- 6.0),80.6 (+/- 6.0),79.9 (+/- 6.1),81.0 (+/- 6.0),64.1 (+/- 9.8),90.6 (+/- 1.1),51.4 (+/- 13.7),RandomForest,b_m_scalar_all_MS_autic_RandomForest
87.6 (+/- 3.3),21.0 (+/- 4.6),78.9 (+/- 4.7),79.2 (+/- 4.2),78.8 (+/- 5.0),65.0 (+/- 11.6),90.6 (+/- 1.1),52.7 (+/- 16.8),SVM,b_m_scalar_all_MS_autic_SVM
87.8 (+/- 4.6),18.8 (+/- 5.8),81.2 (+/- 5.7),81.2 (+/- 6.1),81.2 (+/- 5.6),64.4 (+/- 15.4),90.6 (+/- 1.1),52.3 (+/- 21.3),NN,b_m_scalar_all_MS_autic_NN
87.3 (+/- 4.8),19.6 (+/- 6.3),80.4 (+/- 6.2),80.4 (+/- 6.5),80.4 (+/- 6.1),62.7 (+/- 12.9),90.6 (+/- 1.1),49.6 (+/- 17.8),LogisticRegression,b_m_scalar_all_MS_autic_LogisticRegression
82.0 (+/- 9.9),23.7 (+/- 5.5),76.3 (+/- 5.5),76.4 (+/- 5.6),76.2 (+/- 5.5),54.9 (+/- 18.2),87.0 (+/- 7.2),39.1 (+/- 25.6),LinearRegression,b_m_scalar_all_MS_autic_LinearRegression
85.4 (+/- 4.3),24.3 (+/- 3.9),75.7 (+/- 3.9),75.6 (+/- 4.0),75.7 (+/- 3.9),60.3 (+/- 12.9),90.6 (+/- 1.1),45.6 (+/- 18.9),RandomForest,b_m_scalar_all_RandomForest
83.8 (+/- 3.4),21.6 (+/- 6.1),78.4 (+/- 6.1),78.3 (+/- 6.2),78.5 (+/- 6.2),57.5 (+/- 5.5),90.6 (+/- 1.1),41.0 (+/- 9.7),SVM,b_m_scalar_all_SVM
82.2 (+/- 6.6),24.0 (+/- 7.4),76.1 (+/- 7.5),76.0 (+/- 7.1),76.1 (+/- 7.7),52.2 (+/- 9.6),90.6 (+/- 1.1),33.6 (+/- 13.6),NN,b_m_scalar_all_NN
82.5 (+/- 8.3),22.9 (+/- 7.4),77.1 (+/- 7.4),77.0 (+/- 7.1),77.2 (+/- 7.6),56.0 (+/- 18.3),90.6 (+/- 1.1),39.6 (+/- 26.2),LogisticRegression,b_m_scalar_all_LogisticRegression
77.7 (+/- 11.0),26.8 (+/- 8.4),73.2 (+/- 8.4),73.4 (+/- 8.3),73.0 (+/- 8.5),48.3 (+/- 17.7),87.7 (+/- 7.5),29.1 (+/- 24.5),LinearRegression,b_m_scalar_all_LinearRegression
56.4 (+/- 16.5),50.0 (+/- 18.1),49.8 (+/- 18.3),51.2 (+/- 18.1),48.8 (+/- 18.6),35.2 (+/- 7.7),75.8 (+/- 18.8),15.1 (+/- 7.0),RandomForest,b_m_scalar_age_RandomForest
63.0 (+/- 6.9),40.6 (+/- 9.0),60.7 (+/- 7.8),55.4 (+/- 13.4),63.3 (+/- 7.1),33.1 (+/- 4.6),91.3 (+/- 3.7),4.6 (+/- 3.5),SVM,b_m_scalar_age_SVM
59.2 (+/- 11.6),45.7 (+/- 9.6),54.3 (+/- 9.5),54.0 (+/- 10.3),54.6 (+/- 9.5),38.0 (+/- 5.3),92.4 (+/- 3.9),11.1 (+/- 5.6),NN,b_m_scalar_age_NN
58.0 (+/- 4.2),45.8 (+/- 9.3),54.1 (+/- 9.5),54.1 (+/- 9.1),54.2 (+/- 9.8),37.5 (+/- 4.9),93.1 (+/- 3.7),10.2 (+/- 4.0),LogisticRegression,b_m_scalar_age_LogisticRegression
58.0 (+/- 4.2),45.8 (+/- 9.3),54.1 (+/- 9.5),54.1 (+/- 9.1),54.2 (+/- 9.8),37.5 (+/- 4.9),93.1 (+/- 3.7),10.2 (+/- 4.0),LinearRegression,b_m_scalar_age_LinearRegression
91.2 (+/- 3.3),16.3 (+/- 6.0),83.7 (+/- 6.1),83.4 (+/- 5.6),84.0 (+/- 6.4),78.8 (+/- 8.0),90.6 (+/- 1.1),73.4 (+/- 11.5),RandomForest,b_m_cat_scalar_TIC_all_RandomForest
89.7 (+/- 2.4),18.4 (+/- 4.0),81.7 (+/- 3.9),81.4 (+/- 4.3),81.8 (+/- 3.8),72.3 (+/- 12.3),90.6 (+/- 1.1),63.8 (+/- 17.8),SVM,b_m_cat_scalar_TIC_all_SVM
89.4 (+/- 3.8),17.9 (+/- 4.7),82.1 (+/- 4.8),82.1 (+/- 4.5),82.1 (+/- 4.9),67.4 (+/- 10.7),90.6 (+/- 1.1),56.2 (+/- 15.9),NN,b_m_cat_scalar_TIC_all_NN
88.6 (+/- 3.0),21.8 (+/- 4.7),78.1 (+/- 4.8),78.5 (+/- 4.5),78.0 (+/- 4.9),72.8 (+/- 8.2),90.6 (+/- 1.1),64.4 (+/- 11.6),LogisticRegression,b_m_cat_scalar_TIC_all_LogisticRegression
82.6 (+/- 9.4),23.9 (+/- 6.3),76.2 (+/- 6.3),75.9 (+/- 6.3),76.3 (+/- 6.2),59.9 (+/- 17.9),87.0 (+/- 7.2),46.2 (+/- 25.4),LinearRegression,b_m_cat_scalar_TIC_all_LinearRegression
88.9 (+/- 2.7),18.5 (+/- 4.4),81.5 (+/- 4.4),81.4 (+/- 4.6),81.5 (+/- 4.4),72.6 (+/- 6.0),90.6 (+/- 1.1),63.7 (+/- 9.0),RandomForest,b_m_cat_scalar_all_RandomForest
87.4 (+/- 4.1),18.8 (+/- 6.5),81.2 (+/- 6.5),81.2 (+/- 6.6),81.2 (+/- 6.4),63.2 (+/- 11.8),90.6 (+/- 1.1),49.6 (+/- 18.7),SVM,b_m_cat_scalar_all_SVM
86.0 (+/- 4.5),21.0 (+/- 6.9),79.0 (+/- 6.9),78.9 (+/- 7.1),79.0 (+/- 6.7),61.8 (+/- 15.1),90.6 (+/- 1.1),47.6 (+/- 23.3),NN,b_m_cat_scalar_all_NN
85.3 (+/- 4.9),22.3 (+/- 7.8),77.8 (+/- 7.7),77.4 (+/- 8.2),77.9 (+/- 7.5),58.2 (+/- 10.9),90.6 (+/- 1.1),41.9 (+/- 17.9),LogisticRegression,b_m_cat_scalar_all_LogisticRegression
78.1 (+/- 10.5),28.9 (+/- 7.6),71.1 (+/- 7.6),71.1 (+/- 7.6),71.1 (+/- 7.7),51.6 (+/- 18.6),86.2 (+/- 7.2),34.2 (+/- 26.7),LinearRegression,b_m_cat_scalar_all_LinearRegression
