ScanID,bounding_box_center_x,bounding_box_center_y,bounding_box_center_z,volume,max_slope
105_5_0,112.3319246,70.31013223,21.40551199,2212.946751,0.03123957
105_6_0,95.50206655,64.52107762,13.34359969,167.119956,0.036670983
105_7_0,-121.4956783,78.27008233,35.51385852,1703.927219,0.024383217
105_8_0,107.3187754,93.10453478,24.76464212,866.2384388,0.032836705
105_9_0,99.79905159,80.44097781,26.10829417,528.516861,0.017593026
106_1_0,-97.63793514,52.17982682,18.8814263,690.5928993,0.019223273
106_2_0,-105.7998224,69.20688703,23.93770703,277.510142,0.012940258
106_3_0,-107.2192811,73.10892167,42.26672468,199.2217304,0.017857313
106_4_0,-102.9609051,79.49406925,41.63468959,147.6659471,0.02004388
106_5_0,-112.5422511,64.95012198,54.27539142,807.7072712,0.011520207
106_6_0,-96.21847648,70.2710783,50.48318087,197.3122569,0.025346607
106_7_0,-112.1873864,78.78460841,64.38795288,322.0645226,0.021450251
107_1_0,87.96455234,-7.318455279,-39.94826508,293.0950933,0.008682907
107_2_0,-65.116256,-3.783101737,-31.82326508,270.5973889,0.008094519
107_3_0,-59.81322569,14.60073668,-30.57326508,331.8411398,0.006445915
107_4_0,-40.01524585,2.226999283,-26.19826508,253.7241106,0.010629207
107_5_0,-48.50009435,-18.27805126,-3.698265076,641.1845752,0.021704018
107_6_0,74.17667353,-31.00532401,-5.573265076,208.7287019,0.010280639
107_7_0,119.4291989,60.20679736,48.80173492,521.1968184,0.021075785
107_8_0,-101.8839328,46.7724539,56.30173492,1134.259263,0.008354992
107_9_0,119.4291989,60.20679736,49.42673492,465.5774937,0.021779329
108_1_0,106.6928069,-9.317577362,-36.09656525,191.2304873,0.004358798
108_2_0,98.56149375,-13.56000161,-17.34656525,4953.244584,0.008098841
108_3_0,88.30896848,-29.8226279,-3.596565247,113.7383944,0.009837925
108_4_0,-107.5496177,78.35919046,53.27843475,327.4665862,0.03180039
108_5_0,116.9453322,77.65211976,59.52843475,366.8375688,0.013112307
109_1_0,101.4880217,-17.75041844,-46.87692011,8228.000898,0.02240917
109_2_0,92.10630644,-39.39994591,-32.28357489,192.0032396,0.013777167
109_3_0,-105.9922203,69.96749456,12.26453158,491.5945014,0.029838026
109_4_0,-103.1055387,63.24867569,22.24945199,213.5208441,0.019674867
109_5_0,-108.1572315,74.81997485,26.8578768,415.4552857,0.0163576
109_6_0,119.8906171,65.86154969,33.77051401,847.4625748,0.022036463
109_7_0,-105.9922203,63.24867569,43.75543442,535.4573105,0.017072946
109_8_0,-108.8789019,86.39127401,47.59578843,604.1481246,0.014632434
11_1_0,130.5982714,55.52035826,70.36799998,551.8851321,0.015349239
11_2_0,-111.9151732,56.22742897,69.70755037,1789.951899,0.019745916
11_3_0,63.71034499,-44.88368231,-11.52775071,722.2612927,0.010504991
11_4_0,-100.8268003,39.96480268,-46.53157963,528.5001689,0.010943711
110_1_0,131.0966994,72.14124237,50.54918212,908.4431568,0.03240843
111_1_0,46.30997144,-14.98703289,-36.5132847,297.2400127,0.006434292
111_2_0,-103.2702882,-8.269861162,-10.86013088,351.6818677,0.022435606
111_3_0,-97.61240607,7.639229774,-8.357384163,915.4992391,0.022578001
111_4_0,-129.4379932,46.88165408,21.04988974,1317.868351,0.01865083
111_5_0,129.0564981,53.59882581,36.6920567,784.7136336,0.025014848
111_6_0,-130.1452285,51.12407833,41.07186345,565.6946768,0.022510469
111_7_0,-137.2175812,61.73013896,40.44617677,346.6757201,0.019376367
112_1_0,-66.14061401,3.408051529,-59.51214047,333.8535568,0.007459626
112_2_0,-84.21675955,40.83127032,59.66872804,333.8535568,0.04301822
114_1_0,-68.3426612,-74.12540925,7.904762268,5446.944208,0.018752605
114_2_0,-60.56488341,-77.66076279,13.52976227,82.49158277,0.014161214
114_3_0,-50.31235814,-70.23652035,12.90476227,483.0757082,0.01644133
114_4_0,-115.7163987,40.06651014,52.90476227,8892.217661,0.06800316
114_5_0,-126.6759946,72.94529808,48.52976227,357.4635253,0.025315389
114_6_0,-124.5547825,49.96550006,69.15476227,277.4716875,0.022696719
114_7_0,-119.6052876,59.15741926,69.77976227,308.7184992,0.025954142
114_8_0,-128.4436714,66.5816617,67.27976227,274.9719426,0.032130137
115_1_0,-117.733537,59.7134994,29.6416945,712.2377289,0.017908946
115_10_0,133.4225887,79.98452816,72.50051425,465.8462565,0.03547719
115_11_0,136.3817183,88.09293967,76.8590383,354.1382256,0.031030238
115_2_0,-122.9120139,73.71893745,35.45305989,417.5186686,0.024216786
115_3_0,142.6698687,66.71621842,44.17010798,414.3496465,0.027492225
115_4_0,131.9430239,64.87339763,47.80221135,110.1235198,0.017877534
115_5_0,137.8612831,74.08750161,47.80221135,247.9759835,0.02301453
115_6_0,137.4913919,82.19591312,52.16073539,570.4239875,0.024417028
115_7_0,138.9709567,69.29616754,60.1513628,308.1874044,0.037976876
115_8_0,-127.7205995,71.87611666,59.42494213,227.3773395,0.023159072
115_9_0,-124.0216875,88.46150383,61.60420415,598.9451869,0.029524267
116_1_0,-87.94887267,-80.42321008,-4.488194861,315.2572981,0.019926757
116_2_0,-112.7127006,50.9258689,34.09855442,719.1114949,0.027623922
116_3_0,-123.8384783,68.55903293,39.10054044,154.3062653,0.022897989
116_4_0,-115.224973,73.95694029,38.38597101,220.7539394,0.02565223
116_5_0,-123.4795823,66.0400095,50.53365133,273.9120786,0.027361065
116_6_0,-119.8906217,86.19219696,48.38994304,280.556846,0.01766473
116_7_0,118.4163597,70.71819587,41.95881816,231.8285517,0.04109022
116_8_0,129.9010336,67.83931195,41.24424873,262.0991588,0.03666979
116_9_0,126.670969,78.27526617,41.24424873,293.1080734,0.020295173
118_1_0,-83.46478591,-24.47232281,-68.29396018,158.5559717,0.009836569
118_2_0,-92.53383777,6.461067224,-63.0263056,322.6753109,0.006763965
118_3_0,-129.5355693,34.84700161,2.819376576,149.5154996,0.031080365
118_4_0,-120.8292795,40.66975738,3.477833398,276.7775296,0.01911053
118_5_0,122.2213101,44.67290198,-35.37111909,148.8200787,0.016782656
118_6_0,-135.3397625,45.40074645,15.98851301,200.9766484,0.01699455
118_7_0,-137.5163349,54.1348801,23.23153805,214.8850669,0.01817374
119_1_0,-118.4816109,71.80003847,-3.006479726,1132.746886,0.027446672
119_2_0,-112.911907,89.40478136,30.27499504,205.9539793,0.021768332
12_1_0,-105.0321438,29.5370401,24.97807942,173.9590989,0.011506826
12_2_0,-109.3016192,21.71613315,42.42872837,147.1458543,0.007618427
120_1_0,-67.47605404,-66.20873464,-35.71308295,107.3133268,0.013442785
120_2_0,-78.32353603,-65.47533003,-34.37311196,85.28211401,0.01202029
120_3_0,-113.0354784,45.26876608,13.86584378,1425.632672,0.013032645
120_4_0,-117.3744712,72.40473665,44.68517661,1300.552239,0.019015223
120_5_0,-102.9111619,69.10441591,33.96540867,601.2389038,0.01642692
120_6_0,-91.34051442,64.33728594,45.3551621,218.8907593,0.020545185
122_1_0,104.6108454,15.53845841,-37.85757631,256.736433,0.004931271
122_10_0,76.38846785,-50.92618817,14.66876871,251.4292199,0.004116833
122_11_0,-79.01323105,-36.0777033,19.2648239,182.4354498,0.007227004
122_12_0,84.96235469,-49.51204675,18.60824459,248.1122117,0.007194489
122_13_0,-128.6703256,62.20512515,35.67930672,386.0997519,0.007446557
122_14_0,-124.0261369,71.75057971,38.96220329,650.7970046,0.006526411
122_15_0,-117.2384765,57.9627009,38.30562398,229.5369659,0.019174457
122_16_0,-118.6674577,63.26573122,35.67930672,225.5565561,0.012945324
122_17_0,-130.0993068,78.11421609,44.21483779,1013.677699,0.008853495
122_18_0,112.4702416,58.66977161,52.75036886,511.4826611,0.015058443
122_19_0,-126.8840992,95.7909838,53.40694817,896.9190114,0.007329464
122_2_0,-76.86975934,-43.50194573,-10.93782449,117.4220895,0.007738143
122_20_0,120.6868832,62.55866051,58.00300336,223.5663512,0.007312343
122_3_0,87.46307168,-47.74436998,-6.998348611,208.3081136,0.004010171
122_4_0,77.46020371,-48.09790534,6.789816959,111.4514748,0.005951971
122_5_0,71.74427915,-43.14841038,5.476658334,234.844179,0.005765528
122_6_0,99.60941136,-38.19891542,9.416134211,121.4024993,0.006814152
122_7_0,113.8992228,44.52835745,9.416134211,159.2163926,0.017755896
122_8_0,-81.15670276,-35.01709723,12.69903077,162.5334007,0.007997572
122_9_0,-67.93862722,-34.66356188,12.04245146,134.670532,0.008674026
123_1_0,-78.10969566,-45.11360231,-26.48754112,120.2942958,0.00771454
123_10_0,-132.7362885,78.57568277,33.11001559,650.4535875,0.013433486
123_11_0,120.3669251,50.88405178,41.81527668,2395.081039,0.014477611
123_2_0,33.3285538,-34.03694991,4.985325907,126.0568968,0.011185929
123_3_0,96.69540153,-41.42138484,4.985325907,134.7007983,0.0068997
123_4_0,72.65970067,-45.8520458,15.69949341,179.360956,0.008375302
123_5_0,82.85666467,-44.74438056,21.05657716,175.7593304,0.007837474
123_6_0,-127.2736292,61.96070418,25.74402544,239.8682665,0.012063295
123_7_0,-117.4408425,62.69914767,30.43147372,852.1446223,0.013918757
123_8_0,-122.5393245,73.40657832,31.10110919,356.5609367,0.010619074
123_9_0,84.6775511,-27.02173673,32.44038012,349.3576854,0.005945057
124_1_0,97.28500895,-33.40567179,-10.11597684,549.989532,0.006016031
124_2_0,-104.7674723,41.26803715,23.40756257,1608.861131,0.012243137
124_3_0,-63.05107136,-23.57059793,22.73709178,141.7498794,0.007629693
124_4_0,132.109135,57.29556492,40.83980307,474.8620959,0.017086893
124_5_0,-116.7382657,56.56704093,43.52168622,220.4210624,0.016396359
124_6_0,143.717177,53.28868298,45.53309858,518.8045585,0.011072412
124_7_0,-108.3949855,51.467373,52.23780647,573.3782621,0.014235258
124_8_0,138.6386586,75.50866466,69.67004696,1120.532797,0.021877289
125_1_0,-117.3439232,80.00021724,15.73667036,1160.21553,0.021831661
125_2_0,123.4260467,78.17524521,54.7868562,300.015329,0.027491719
125_3_0,114.7103916,99.34492076,54.7868562,655.5022423,0.028006375
125_4_0,116.1630008,81.09520046,69.52277538,620.3441959,0.021087855
125_5_0,119.0682191,101.8998816,76.89073497,660.1899818,0.028510481
126_1_0,-48.00189435,-4.665386009,68.77492035,3463.613761,0.040213346
127_1_0,102.9142715,46.74114808,56.48188782,447.2096613,0.03561811
127_2_0,104.0047008,64.9149695,71.48188782,301.2224602,0.043544263
128_1_0,83.00090053,6.074265097,-32.16561061,904.8202114,0.04110831
128_2_0,80.4869566,1.450536463,-17.74667825,111.8467619,0.014041543
128_3_0,73.66339448,-17.75572094,13.05740451,243.1160153,0.015809566
128_4_0,80.4869566,-8.863935105,13.05740451,253.8318728,0.011221409
129_1_0,56.16837227,8.125125408,-21.42407227,841.1641698,0.035711616
129_10_0,-59.43768853,-31.82436961,27.95092773,203.1042758,0.013368845
129_2_0,67.48150361,-16.26881403,-3.924072266,19862.97323,0.015331447
129_2_1,67.48150361,-16.26881403,-3.924072266,19862.97323,0.015331447
129_2_2,67.48150361,-16.26881403,-3.924072266,19862.97323,0.015331447
129_2_3,67.48150361,-16.26881403,-3.924072266,19862.97323,0.015331447
129_2_4,67.48150361,-16.26881403,-3.924072266,19862.97323,0.015331447
129_3_0,-47.77102184,-35.0061878,-10.79907227,274.9719426,0.009087652
129_4_0,-43.17506224,-7.783965528,1.075927734,271.2223252,0.00959897
129_5_0,93.28958446,-33.59204638,3.575927734,159.9836757,0.014914781
129_6_0,-77.46799159,-33.94558173,14.82592773,192.4803598,0.008704871
129_7_0,-77.46799159,8.832196116,11.70092773,248.7246208,0.010260552
129_8_0,-52.36698145,-26.5213393,12.95092773,303.7190093,0.009109318
129_9_0,103.8956451,7.064519346,13.57592773,249.9744933,0.008838415
130_1_0,65.12683485,-27.01885622,-45.86729431,200.8318879,0.004476219
130_10_0,71.84781199,-33.73983336,-10.24229431,334.7198132,0.011118054
130_11_0,81.75240987,-42.93695997,-8.367294312,132.0109918,0.01127027
130_12_0,67.60298432,-24.54270675,-0.867294312,137.6417923,0.015547127
130_13_0,-78.13609885,-31.97115517,4.757705688,232.1141135,0.013844192
130_14_0,-104.6662718,26.39522523,14.13270569,317.2017669,0.019774199
130_15_0,-58.32690308,-14.28437323,31.00770569,165.7957953,0.00773105
130_2_0,-73.18379991,-35.86224719,-38.36729431,177.0573965,0.005990475
130_3_0,-59.38810999,-39.39960358,-36.49229431,159.5393502,0.006349653
130_4_0,50.9774093,-58.50132807,-39.61729431,101.9800552,0.006279469
130_5_0,51.68488058,-66.63724777,-32.74229431,240.8731366,0.016833246
130_6_0,-77.07489193,-57.7938568,-30.86729431,110.7390784,0.007026672
130_7_0,-51.2521903,-52.48782222,-28.36729431,324.709501,0.007170022
130_8_0,-65.04788021,-44.35190252,-10.86729431,182.6881971,0.006599307
130_9_0,-44.88494881,-35.50851155,-11.49229431,390.4021747,0.006758541
131_1_0,-69.02017241,7.92227974,-19.5941025,519.2234201,0.007394433
131_2_0,-93.47227014,-26.05453948,6.37443958,301.8740814,0.005984128
132_1_0,48.20740434,-93.83364438,31.74498321,326.0250569,0.011647552
132_2_0,125.8287998,38.96017302,50.78619616,269.4696899,0.018684924
132_3_0,137.2752729,40.3766404,48.15982196,660.6997583,0.018386751
132_4_0,-125.2782031,50.2919121,63.26147361,1005.354818,0.014503479
133_1_0,132.2517897,69.13214326,84.0425757,183.7505174,0.02707988
134_1_0,-79.71014059,-36.27145511,-16.74422148,487.2915409,0.007755309
134_10_0,-133.3016195,63.51049241,23.87482066,195.1995142,0.007189721
134_11_0,-130.7496443,71.88634932,21.87716285,132.2547433,0.011596307
134_12_0,-125.645694,87.90972776,22.54304879,118.109851,0.01357469
134_13_0,-128.562237,83.53971545,28.53602221,58.70130319,0.011472404
134_14_0,122.9896028,64.60299549,29.86779409,199.4429819,0.019971505
134_15_0,125.1770101,72.9788524,28.53602221,82.74762016,0.027084857
134_16_0,46.43034721,-11.87221977,32.53133783,101.8432248,0.007345304
134_17_0,-125.2811261,87.18139237,53.83968781,503.5581671,0.020905077
134_18_0,119.7084919,75.89219393,54.50557374,617.4245504,0.016631424
134_19_0,119.7084919,88.63806314,49.17848625,514.874081,0.038850173
134_2_0,-73.51248657,-10.05138131,5.230014432,335.9411929,0.015648007
134_3_0,-116.166929,53.67796474,11.22298786,227.7327666,0.018582836
134_4_0,-126.3748297,57.31964165,7.893558179,239.7559251,0.007909834
134_5_0,110.5942948,56.95547396,15.21830348,118.8170956,0.020664558
134_6_0,114.2399736,61.32548626,15.21830348,28.28978467,0.03296624
134_7_0,123.3541707,58.77631242,18.54773317,238.3414358,0.013729394
134_8_0,123.7187386,67.51633702,17.88184723,316.8455883,0.017866224
134_9_0,-120.9063115,62.78215703,22.54304879,199.4429819,0.007199019
135_1_0,65.14483392,-26.24843911,-67.41835022,289.21636,0.004926741
135_10_0,-74.15325563,-29.16567659,-17.41835022,304.5082595,0.026149154
135_11_0,-95.30322734,36.47216666,-10.54335022,365.6758574,0.046425283
135_2_0,-62.11965103,-33.5415328,-59.91835022,138.9568258,0.011551201
135_3_0,48.73537311,-61.98459821,-51.16835022,241.3460659,0.01734358
135_4_0,62.95690582,-0.722611182,-35.54335022,353.0434187,0.012732446
135_5_0,-52.27397454,-33.90618749,-29.91835022,203.4487498,0.01692012
135_6_0,-41.334334,-33.17687812,-33.04335022,390.9407348,0.015313208
135_7_0,73.16723699,-32.81222343,-31.79335022,489.3407837,0.014063478
135_8_0,81.18964005,-42.65789992,-29.29335022,140.2865562,0.021158576
135_9_0,67.33276203,-23.69585632,-22.41835022,163.556838,0.019335657
138_1_0,104.914269,56.99530989,75.54859352,576.8161432,0.014873773
138_2_0,-92.71199399,47.09631997,80.54859352,912.4069004,0.015274882
138_3_0,111.9849761,63.00541091,82.42359352,964.2766077,0.011736393
139_1_0,-76.20895334,49.24184262,-37.32789794,159.6272381,0.013366565
139_2_0,75.17234388,7.598883666,-31.19812889,911.9573514,0.017585412
139_3_0,-75.85107793,18.27656545,-29.835958,365.7545846,0.005895451
139_4_0,64.79395708,27.88647905,-28.4737871,142.2764513,0.009095565
139_5_0,74.09871766,-8.417639009,-10.08447996,1306.167226,0.022510499
139_6_0,111.31776,74.15643345,69.60251761,462.2249589,0.020015314
139_7_0,118.1173927,82.34265615,67.55926126,497.6205639,0.016156584
14_1_0,63.7682603,26.48075622,-43.48182033,80.18327929,0.015624464
14_2_0,45.73795724,21.03372504,-40.64285767,333.1250785,0.009479359
14_3_0,133.0611897,0.698141973,23.23380216,1055.503531,0.015705273
140_1_0,-122.6909473,63.83470736,8.965991984,87.40933534,0.02371785
140_2_0,-117.5236578,60.90180778,20.99212628,212.9440191,0.013802797
140_3_0,-94.27085519,43.6710227,57.07052916,317.0913123,0.008746445
140_4_0,-55.147092,4.443490713,49.33944283,203.6451536,0.014137715
140_5_0,-40.75249988,17.64153886,56.21151956,196.2060612,0.013239652
140_6_0,124.6007634,59.80197043,79.40477856,1587.316334,0.020833373
140_7_0,129.3989608,77.03275551,94.86695122,541.1939699,0.017558485
140_8_0,-108.6654473,56.86907084,112.9061527,250.1394809,0.017305166
140_9_0,-120.8454868,77.03275551,122.3552582,264.0877791,0.025185734
141_1_0,-104.9530641,40.87190891,25.96165187,646.2451816,0.011247426
141_2_0,129.6352955,55.73455201,80.1491734,449.0729278,0.027711377
141_3_0,-124.5323089,60.80960087,81.57516081,342.6149049,0.011824265
141_4_0,-114.3801079,54.64704154,78.72318599,618.5061193,0.014551193
141_5_0,-107.1285357,63.7096288,82.28815452,427.3315006,0.013812721
141_6_0,136.524289,67.69716719,95.1220412,722.7150291,0.020987332
141_7_0,137.6120249,83.28481727,102.9649719,322.3728864,0.022270113
143_1_0,-123.566557,69.19151588,15.83568191,133.6318995,0.020115837
143_2_0,-126.8088366,73.08959187,28.71672064,680.6225761,0.03072603
143_3_0,119.9646606,75.57018569,17.86953013,344.8118442,0.03745015
143_4_0,134.0145385,81.59448495,41.59775937,848.8741387,0.03585422
143_5_0,121.765927,81.94885549,46.34340522,291.4975631,0.015198842
145_1_0,69.10821968,-38.19543204,46.06288827,2768.869947,0.025536656
146_1_0,74.37052763,-57.5538743,75.77428257,284.0563631,0.005871624
146_2_0,-83.6250088,-30.00121454,90.48825676,269.7169794,0.004862338
148_1_0,-46.20815929,4.504649727,9.902918572,313.7086228,0.007200271
148_2_0,-93.03436905,42.82294662,14.64464919,196.6960244,0.025137916
148_3_0,124.7619554,44.64762742,39.70808243,358.2164823,0.015608355
148_4_0,-90.13041806,55.96064841,69.51324629,455.8466258,0.015683457
148_5_0,127.3029126,59.97494618,65.44890576,444.3607266,0.022492021
148_6_0,131.2958452,74.20745645,63.4167355,262.739945,0.017374873
15_1_0,94.53755776,-27.3200397,-64.14547269,137.8688644,0.011393487
15_2_0,128.9663782,-23.71347641,-18.06155498,823.8668546,0.023396775
15_3_0,47.42443508,-54.72992064,-12.94111968,153.9312563,0.012615398
15_4_0,-88.47880343,-56.8938586,2.420186222,129.8376684,0.016828597
15_5_0,115.19485,59.23747906,24.82209066,797.7654677,0.032182068
15_6_0,112.6579896,60.31944805,33.78285244,1871.268664,0.030916736
15_7_0,-102.2503316,64.28666766,46.58394069,402.8983318,0.038802564
15_8_0,120.2685709,67.53257461,56.82481129,958.3893873,0.030322641
15_9_0,-108.4112784,63.92601133,63.86540983,560.1759198,0.033755288
152_1_0,75.45572849,-8.700527485,-3.315161823,190.5288356,0.013639376
152_2_0,-112.9527092,79.13187988,57.97006735,318.0795204,0.017796233
152_3_0,-124.2937997,80.954129,56.47530566,297.3525341,0.03494306
152_4_0,-107.0992432,61.27383855,74.41244591,2397.952876,0.035092205
152_5_0,-124.6596413,72.20733324,69.18078,292.5693835,0.026597485
152_6_0,-98.31904418,78.76743006,80.39149266,606.662945,0.038999543
152_7_0,-97.95320255,85.32752688,78.14935012,175.3821917,0.018009037
152_8_0,-111.4893427,88.24312546,81.88625434,192.1232191,0.022553816
152_9_0,136.9171218,73.30068271,88.61268193,372.2885615,0.03849791
153_1_0,-102.8400791,33.09429658,83.18020803,374.1356033,0.025697008
153_2_0,-109.9184274,46.36433995,81.86021641,421.2650882,0.01935114
153_3_0,-104.3302577,43.04682911,92.42014935,474.9201941,0.014532402
153_4_0,-111.7811507,66.63801732,109.5800404,743.9207927,0.013103426
153_5_0,-104.3302577,60.37160795,120.1399733,820.7781065,0.02692701
155_1_0,-118.0604207,48.45060453,4.368259854,304.8805913,0.009785622
156_1_0,56.2168464,13.23230365,-1.43518357,158.9624266,0.013143182
156_2_0,58.75385903,14.31044769,12.90752593,180.0215514,0.010050043
156_3_0,68.90190952,-2.221094181,22.0347047,126.3547493,0.007790327
158_1_0,-102.4427996,16.50443769,-8.753928523,33352.75219,0.057604015
158_1_1,-102.4427996,16.50443769,-8.753928523,33352.75219,0.057604015
158_1_2,-102.4427996,16.50443769,-8.753928523,33352.75219,0.057604015
158_1_3,-102.4427996,16.50443769,-8.753928523,33352.75219,0.057604015
158_10_0,-136.1412909,85.44383174,35.96991831,873.7677932,0.025111616
158_11_0,-112.4806481,82.26201355,33.96735801,3499.132061,0.021549672
158_12_0,120.8993289,82.96908426,35.30239821,2485.263622,0.019952
158_13_0,111.2199751,100.645852,31.2972776,439.9295628,0.06272912
158_2_0,-119.2920452,-15.66727954,-6.751368217,918.4375642,0.05602026
158_3_0,-120.367529,60.3428216,1.258873007,721.484483,0.033231676
158_4_0,120.1823398,62.46403372,-7.418888319,1917.416079,0.03861749
158_5_0,-105.6692509,57.86807412,13.27423484,2186.11152,0.034378886
158_6_0,133.4466395,69.18120545,7.934074028,467.678966,0.04660377
158_7_0,92.21976187,58.57514483,17.94687556,459.5571894,0.023511738
158_8_0,-122.160002,61.04989231,27.29215699,403.3815683,0.051927984
158_9_0,109.0690075,76.60544789,21.95199617,563.1098404,0.022890031
159_1_0,-97.5082088,28.9587611,28.29635709,1032.88653,0.008258879
159_2_0,118.3700205,38.85775101,61.31066834,3038.424988,0.006055415
159_3_0,127.7091785,57.94866014,63.33195271,262.8419003,0.022530764
159_4_0,118.3700205,61.83754903,73.43837452,804.2688356,0.021513492
16_1_0,-75.79857804,0.11509073,-54.58104158,184.1267476,0.010684371
16_2_0,-97.46134616,-9.438905853,-44.94724569,293.210241,0.012091875
16_3_0,69.09337917,-55.00412032,10.63234598,153.1810758,0.014232993
16_4_0,-130.8433167,78.01690902,23.97144798,1363.156846,0.033127397
16_5_0,-108.1151665,69.19783525,34.34630509,599.5723925,0.043996304
161_1_0,93.19733858,-89.86759736,-25.66670527,180.3513147,0.010818541
161_2_0,117.5192961,51.92351907,32.81083486,617.3564233,0.016889513
161_3_0,-114.8489439,87.7367392,21.53805604,534.8880871,0.019536555
161_4_0,-115.9714958,70.19557015,37.03812692,1866.71318,0.024526417
161_5_0,122.3836876,71.29189322,55.3563925,1228.54699,0.01355651
162_1_0,156.391168,-29.12424208,-54.85012595,2321.738852,0.028360695
162_2_0,-112.5955502,-41.74481236,-41.42293923,6376.935874,0.062825635
162_3_0,-128.5247771,57.41681127,-44.61988845,202.9935608,0.020439178
162_4_0,-122.7323309,67.15267977,9.088858396,472.0935772,0.06692305
162_5_0,121.998519,79.77325006,25.71299433,1099.103293,0.054318488
162_6_0,-128.886805,84.82147817,19.95848573,416.6709932,0.043782964
162_7_0,-108.6132434,74.72502194,28.90994354,587.6129392,0.066936076
164_1_0,-62.30269664,-23.91337777,-62.55125271,1305.104868,0.005050659
164_2_0,-105.6044808,31.95299563,36.19092768,167.6697226,0.00807929
164_3_0,-117.7143018,55.26148254,38.97239755,314.9471816,0.003755778
165_1_0,118.7356686,63.57372418,-15.32303186,176.3878678,0.021215767
166_1_0,-65.03944755,-33.01088667,-39.0869751,255.5989193,0.008030236
166_2_0,90.86964363,1.635578036,-29.0869751,237.4757686,0.007352218
166_3_0,-69.2818718,-26.29371494,25.9130249,100.6147335,0.006748393
166_4_0,129.7585326,40.52446699,34.6630249,167.4829105,0.016203046
166_5_0,134.7080275,44.05982053,58.4130249,214.353128,0.017485783
168_1_0,-101.8789618,44.62424232,-4.754528667,363.6209508,0.010979787
168_2_0,-111.2107118,52.51429102,-0.74189523,181.8104754,0.012631357
168_3_0,90.8575673,-0.922857009,12.63354956,326.4324445,0.007417098
168_4_0,143.2589328,77.26035285,65.46655649,444.8847239,0.028956667
17_1_0,-45.70388587,-2.260923869,-41.69796434,67.67790649,0.008991003
17_2_0,-46.06499584,-6.913347791,-28.60579783,309.2880327,0.008015797
170_1_0,54.14742061,-60.45797938,-31.02948151,120.2276508,0.010684773
170_2_0,-71.87021456,-24.75090861,-3.365192989,388.3793744,0.038772553
170_3_0,101.5810249,56.91575819,44.4185781,265.004403,0.022368893
170_4_0,109.7226136,70.35010165,63.280593,729.5489384,0.014705569
170_5_0,-90.27728486,67.16828346,63.280593,296.47761,0.031888634
171_1_0,-72.22561712,16.33214553,24.02611656,421.3290598,0.009550422
172_1_0,-120.0432085,45.41021636,3.310519579,537.1360351,0.03760627
172_2_0,-130.6159084,56.67149277,22.11510178,535.105275,0.022359073
172_3_0,-109.0929123,54.04386161,18.5332766,422.3980919,0.023538113
172_4_0,-118.9104193,45.41021636,24.80147067,133.0147837,0.021265477
172_5_0,-123.4415764,60.0498757,36.44240251,1193.071534,0.018289745
173_1_0,-107.2640295,47.99347778,14.76238042,563.4581144,0.03039077
173_2_0,-114.4092433,71.72378187,50.43398521,848.074585,0.018595427
175_1_0,136.4365194,49.74357069,10.41761589,208.1273069,0.009829938
175_2_0,-94.78256102,-5.139978245,23.54261589,301.5338391,0.019729346
175_3_0,-93.72029878,11.14804273,25.41761589,861.3461434,0.015485495
175_4_0,-127.358603,46.91087139,59.16761589,1392.948421,0.009512782
175_5_0,-126.2963407,50.80583293,76.04261589,538.498062,0.011963427
175_6_0,-133.7321764,60.01210566,77.91761589,707.1313317,0.013595015
