auroc,eer,accuracy_at_eer,sensitivity_at_eer,specificity_at_eer,accuracy_at_sensitivity90,sensitivity_at_sensitivity90,specificity_at_sensitivity90,Method,Dataset
56.7 (+/- 3.7),43.8 (+/- 3.6),57.9 (+/- 3.8),53.7 (+/- 3.4),58.6 (+/- 3.9),56.0 (+/- 4.1),55.9 (+/- 6.7),56.1 (+/- 4.5),RandomForest,bg_m_TIC_MS_RandomForest
46.1 (+/- 5.1),55.6 (+/- 3.9),40.8 (+/- 10.0),49.6 (+/- 4.8),39.2 (+/- 12.5),16.4 (+/- 1.7),93.5 (+/- 2.6),4.1 (+/- 2.9),SVM,bg_m_TIC_MS_SVM
63.3 (+/- 5.4),39.5 (+/- 6.8),60.6 (+/- 6.9),60.4 (+/- 6.7),60.6 (+/- 6.9),25.6 (+/- 7.3),89.9 (+/- 0.6),15.5 (+/- 7.6),NN,bg_m_TIC_MS_NN
63.9 (+/- 5.0),39.3 (+/- 6.9),60.9 (+/- 7.0),60.4 (+/- 6.7),60.9 (+/- 7.0),24.7 (+/- 7.8),90.6 (+/- 1.3),14.3 (+/- 8.4),LogisticRegression,bg_m_TIC_MS_LogisticRegression
63.9 (+/- 5.0),39.5 (+/- 6.8),60.7 (+/- 7.0),60.4 (+/- 6.7),60.7 (+/- 7.0),25.6 (+/- 7.3),89.9 (+/- 0.6),15.5 (+/- 7.6),LinearRegression,bg_m_TIC_MS_LinearRegression
48.8 (+/- 3.2),52.8 (+/- 1.6),47.4 (+/- 1.3),46.9 (+/- 4.0),47.5 (+/- 1.8),46.0 (+/- 2.3),48.7 (+/- 4.9),45.6 (+/- 3.0),RandomForest,bg_m_TIC_autic_RandomForest
47.5 (+/- 5.3),53.9 (+/- 2.8),46.3 (+/- 2.9),45.7 (+/- 2.6),46.4 (+/- 2.9),24.8 (+/- 7.8),89.2 (+/- 1.6),14.5 (+/- 9.3),SVM,bg_m_TIC_autic_SVM
47.2 (+/- 9.6),54.0 (+/- 10.7),46.0 (+/- 10.5),46.0 (+/- 11.0),46.1 (+/- 10.5),24.1 (+/- 8.5),90.5 (+/- 1.6),13.6 (+/- 8.8),NN,bg_m_TIC_autic_NN
57.1 (+/- 12.3),46.9 (+/- 11.0),53.4 (+/- 10.9),52.7 (+/- 11.0),53.5 (+/- 10.9),22.3 (+/- 10.8),91.8 (+/- 4.1),11.3 (+/- 12.5),LogisticRegression,bg_m_TIC_autic_LogisticRegression
57.1 (+/- 12.3),46.9 (+/- 11.0),53.4 (+/- 10.9),52.7 (+/- 11.0),53.5 (+/- 10.9),22.3 (+/- 10.8),91.8 (+/- 4.1),11.3 (+/- 12.5),LinearRegression,bg_m_TIC_autic_LinearRegression
60.0 (+/- 10.8),41.1 (+/- 9.7),58.6 (+/- 10.0),59.2 (+/- 9.3),58.6 (+/- 10.0),24.2 (+/- 9.0),89.7 (+/- 2.1),13.9 (+/- 9.7),RandomForest,bg_m_TIC_all_RandomForest
62.8 (+/- 9.6),40.4 (+/- 5.6),58.7 (+/- 5.2),60.9 (+/- 6.9),58.4 (+/- 5.2),26.2 (+/- 6.4),90.5 (+/- 1.6),16.0 (+/- 6.8),SVM,bg_m_TIC_all_SVM
64.4 (+/- 9.5),42.0 (+/- 9.5),58.3 (+/- 9.7),57.7 (+/- 9.2),58.4 (+/- 9.8),26.5 (+/- 10.3),89.9 (+/- 0.6),16.5 (+/- 10.9),NN,bg_m_TIC_all_NN
72.5 (+/- 9.5),32.6 (+/- 8.6),67.1 (+/- 7.8),67.9 (+/- 9.6),66.9 (+/- 7.5),39.3 (+/- 17.9),89.0 (+/- 1.4),31.5 (+/- 19.8),LogisticRegression,bg_m_TIC_all_LogisticRegression
71.4 (+/- 8.7),35.1 (+/- 3.8),64.9 (+/- 4.2),64.9 (+/- 3.2),64.9 (+/- 4.3),38.1 (+/- 16.6),89.9 (+/- 0.6),30.1 (+/- 18.4),LinearRegression,bg_m_TIC_all_LinearRegression
86.9 (+/- 5.3),19.9 (+/- 5.2),80.1 (+/- 5.2),80.1 (+/- 5.2),80.1 (+/- 5.3),58.3 (+/- 15.1),89.0 (+/- 1.4),53.6 (+/- 16.7),RandomForest,bg_m_scalar_volume_MS_bbox_RandomForest
85.9 (+/- 3.8),23.2 (+/- 5.3),76.6 (+/- 5.2),77.2 (+/- 5.4),76.5 (+/- 5.2),56.1 (+/- 17.7),90.6 (+/- 1.4),50.9 (+/- 20.3),SVM,bg_m_scalar_volume_MS_bbox_SVM
87.4 (+/- 5.0),20.6 (+/- 6.3),79.4 (+/- 6.1),79.4 (+/- 6.5),79.4 (+/- 6.1),59.6 (+/- 15.2),89.9 (+/- 0.6),55.0 (+/- 16.9),NN,bg_m_scalar_volume_MS_bbox_NN
85.6 (+/- 4.4),22.9 (+/- 5.3),77.1 (+/- 5.4),77.2 (+/- 5.2),77.1 (+/- 5.4),58.8 (+/- 6.7),89.9 (+/- 0.6),54.0 (+/- 7.3),LogisticRegression,bg_m_scalar_volume_MS_bbox_LogisticRegression
84.6 (+/- 4.8),24.9 (+/- 6.2),75.1 (+/- 6.5),75.0 (+/- 5.8),75.2 (+/- 6.6),55.3 (+/- 9.5),89.9 (+/- 0.6),49.9 (+/- 10.7),LinearRegression,bg_m_scalar_volume_MS_bbox_LinearRegression
67.3 (+/- 9.2),38.1 (+/- 6.8),63.3 (+/- 6.0),59.9 (+/- 8.9),63.9 (+/- 5.9),61.0 (+/- 2.5),63.1 (+/- 14.6),60.6 (+/- 3.1),RandomForest,bg_m_scalar_volume_RandomForest
71.6 (+/- 4.8),30.6 (+/- 6.7),76.5 (+/- 13.9),60.0 (+/- 16.9),78.8 (+/- 17.7),15.9 (+/- 1.5),97.9 (+/- 2.9),2.9 (+/- 1.3),SVM,bg_m_scalar_volume_SVM
76.0 (+/- 11.7),29.7 (+/- 8.7),70.3 (+/- 8.7),70.4 (+/- 8.6),70.3 (+/- 8.7),40.5 (+/- 19.0),89.9 (+/- 0.6),32.9 (+/- 21.4),NN,bg_m_scalar_volume_NN
76.0 (+/- 11.7),29.8 (+/- 8.8),70.1 (+/- 8.9),70.4 (+/- 8.6),70.1 (+/- 9.0),40.3 (+/- 18.8),89.9 (+/- 0.6),32.7 (+/- 21.2),LogisticRegression,bg_m_scalar_volume_LogisticRegression
76.0 (+/- 11.7),29.9 (+/- 8.8),70.5 (+/- 8.9),69.6 (+/- 8.6),70.6 (+/- 9.0),40.1 (+/- 19.4),89.9 (+/- 0.6),32.4 (+/- 21.8),LinearRegression,bg_m_scalar_volume_LinearRegression
60.1 (+/- 7.4),43.8 (+/- 3.4),57.1 (+/- 4.2),54.8 (+/- 2.9),57.5 (+/- 4.5),30.8 (+/- 5.4),86.0 (+/- 3.4),22.1 (+/- 4.8),RandomForest,bg_m_scalar_elong_flatn_RandomForest
51.8 (+/- 5.7),49.1 (+/- 6.1),45.6 (+/- 3.3),58.6 (+/- 14.6),43.3 (+/- 4.9),21.3 (+/- 5.0),89.0 (+/- 1.4),10.5 (+/- 5.6),SVM,bg_m_scalar_elong_flatn_SVM
49.9 (+/- 11.3),48.6 (+/- 10.1),51.1 (+/- 9.9),51.7 (+/- 10.4),51.0 (+/- 9.8),21.3 (+/- 6.0),91.8 (+/- 4.1),10.0 (+/- 7.1),NN,bg_m_scalar_elong_flatn_NN
58.9 (+/- 6.7),44.0 (+/- 7.0),55.7 (+/- 6.7),56.3 (+/- 7.4),55.6 (+/- 6.6),25.0 (+/- 8.9),91.8 (+/- 4.1),14.3 (+/- 10.6),LogisticRegression,bg_m_scalar_elong_flatn_LogisticRegression
58.5 (+/- 6.5),44.2 (+/- 7.0),55.4 (+/- 6.8),56.3 (+/- 7.4),55.3 (+/- 6.7),24.8 (+/- 8.9),91.8 (+/- 4.1),14.1 (+/- 10.6),LinearRegression,bg_m_scalar_elong_flatn_LinearRegression
71.1 (+/- 5.7),32.7 (+/- 8.0),65.6 (+/- 7.6),69.6 (+/- 9.6),64.9 (+/- 7.5),45.9 (+/- 12.9),89.0 (+/- 1.4),39.1 (+/- 14.1),RandomForest,bg_m_scalar_box_center_xyz_RandomForest
66.7 (+/- 11.1),39.3 (+/- 12.8),60.6 (+/- 13.0),60.9 (+/- 12.5),60.5 (+/- 13.0),33.2 (+/- 15.6),90.5 (+/- 1.6),24.0 (+/- 18.4),SVM,bg_m_scalar_box_center_xyz_SVM
78.3 (+/- 7.3),29.5 (+/- 4.0),71.0 (+/- 4.2),69.9 (+/- 3.8),71.1 (+/- 4.3),54.2 (+/- 18.4),89.9 (+/- 0.6),48.8 (+/- 20.6),NN,bg_m_scalar_box_center_xyz_NN
74.4 (+/- 7.1),32.6 (+/- 6.8),67.4 (+/- 6.7),67.5 (+/- 6.9),67.3 (+/- 6.6),54.2 (+/- 13.8),90.6 (+/- 1.3),48.6 (+/- 15.3),LogisticRegression,bg_m_scalar_box_center_xyz_LogisticRegression
74.6 (+/- 7.0),31.4 (+/- 5.3),68.2 (+/- 5.3),69.1 (+/- 5.2),68.0 (+/- 5.3),56.1 (+/- 13.2),89.9 (+/- 0.6),50.9 (+/- 14.6),LinearRegression,bg_m_scalar_box_center_xyz_LinearRegression
87.6 (+/- 6.7),19.7 (+/- 7.2),80.2 (+/- 7.3),80.4 (+/- 7.2),80.1 (+/- 7.4),62.3 (+/- 18.7),90.6 (+/- 1.4),58.0 (+/- 21.2),RandomForest,bg_m_scalar_all_MS_autic_RandomForest
88.6 (+/- 3.4),20.7 (+/- 5.2),79.3 (+/- 5.2),79.3 (+/- 5.1),79.3 (+/- 5.3),64.3 (+/- 14.3),89.9 (+/- 0.6),60.4 (+/- 16.4),SVM,bg_m_scalar_all_MS_autic_SVM
87.3 (+/- 7.3),20.5 (+/- 6.4),79.4 (+/- 6.4),79.8 (+/- 6.4),79.3 (+/- 6.4),63.9 (+/- 15.5),89.0 (+/- 1.4),60.1 (+/- 17.3),NN,bg_m_scalar_all_MS_autic_NN
81.2 (+/- 7.4),26.9 (+/- 6.1),73.1 (+/- 6.3),73.1 (+/- 5.8),73.1 (+/- 6.4),44.3 (+/- 20.3),91.8 (+/- 4.1),36.7 (+/- 24.1),LogisticRegression,bg_m_scalar_all_MS_autic_LogisticRegression
79.9 (+/- 9.0),26.4 (+/- 6.1),73.4 (+/- 6.1),73.8 (+/- 6.2),73.4 (+/- 6.1),44.6 (+/- 18.3),91.8 (+/- 4.1),37.1 (+/- 21.9),LinearRegression,bg_m_scalar_all_MS_autic_LinearRegression
86.7 (+/- 7.3),19.9 (+/- 6.6),79.7 (+/- 6.6),80.6 (+/- 6.6),79.5 (+/- 6.6),58.9 (+/- 17.4),90.4 (+/- 2.5),54.1 (+/- 20.0),RandomForest,bg_m_scalar_all_RandomForest
84.6 (+/- 6.1),24.0 (+/- 6.9),75.9 (+/- 6.9),76.1 (+/- 6.8),75.9 (+/- 7.0),53.5 (+/- 18.5),89.9 (+/- 0.6),47.9 (+/- 21.4),SVM,bg_m_scalar_all_SVM
86.5 (+/- 7.8),21.6 (+/- 6.4),78.4 (+/- 6.4),78.4 (+/- 6.3),78.4 (+/- 6.5),61.7 (+/- 20.1),89.9 (+/- 0.6),57.5 (+/- 22.6),NN,bg_m_scalar_all_NN
84.5 (+/- 6.4),23.3 (+/- 8.0),76.6 (+/- 7.9),76.8 (+/- 8.1),76.6 (+/- 7.9),61.0 (+/- 13.3),89.9 (+/- 0.6),56.6 (+/- 14.8),LogisticRegression,bg_m_scalar_all_LogisticRegression
84.4 (+/- 8.1),23.3 (+/- 8.0),76.6 (+/- 8.3),76.7 (+/- 7.6),76.6 (+/- 8.4),55.7 (+/- 19.0),89.9 (+/- 0.6),50.6 (+/- 21.0),LinearRegression,bg_m_scalar_all_LinearRegression
53.1 (+/- 7.3),46.2 (+/- 8.1),54.7 (+/- 7.9),52.7 (+/- 8.7),55.0 (+/- 7.8),32.7 (+/- 7.5),64.1 (+/- 8.2),27.8 (+/- 9.0),RandomForest,bg_m_scalar_age_RandomForest
56.0 (+/- 7.6),42.5 (+/- 4.7),57.4 (+/- 5.2),57.7 (+/- 5.7),57.3 (+/- 5.6),27.4 (+/- 3.5),92.7 (+/- 0.9),17.0 (+/- 5.1),SVM,bg_m_scalar_age_SVM
40.8 (+/- 8.5),54.7 (+/- 7.4),44.8 (+/- 7.5),45.9 (+/- 8.3),44.6 (+/- 7.7),18.1 (+/- 3.6),91.8 (+/- 4.6),6.3 (+/- 4.9),NN,bg_m_scalar_age_NN
49.9 (+/- 12.8),51.0 (+/- 10.5),49.4 (+/- 10.5),48.3 (+/- 10.5),49.6 (+/- 10.4),22.3 (+/- 7.7),91.7 (+/- 4.7),11.2 (+/- 9.2),LogisticRegression,bg_m_scalar_age_LogisticRegression
49.9 (+/- 12.8),51.0 (+/- 10.5),49.4 (+/- 10.5),48.3 (+/- 10.5),49.6 (+/- 10.4),22.3 (+/- 7.7),91.7 (+/- 4.7),11.2 (+/- 9.2),LinearRegression,bg_m_scalar_age_LinearRegression
88.4 (+/- 6.6),17.8 (+/- 6.7),82.3 (+/- 6.5),82.1 (+/- 7.0),82.3 (+/- 6.4),55.4 (+/- 27.9),90.6 (+/- 1.4),50.1 (+/- 31.7),RandomForest,bg_m_cat_scalar_TIC_all_RandomForest
89.5 (+/- 1.6),20.1 (+/- 6.1),79.5 (+/- 6.0),80.3 (+/- 6.1),79.4 (+/- 6.0),71.1 (+/- 11.7),90.6 (+/- 1.4),68.0 (+/- 13.7),SVM,bg_m_cat_scalar_TIC_all_SVM
88.2 (+/- 4.3),20.9 (+/- 4.6),78.9 (+/- 4.6),79.3 (+/- 4.6),78.9 (+/- 4.6),62.7 (+/- 13.6),89.9 (+/- 0.6),58.5 (+/- 15.4),NN,bg_m_cat_scalar_TIC_all_NN
82.5 (+/- 9.5),24.3 (+/- 7.1),75.5 (+/- 6.8),75.9 (+/- 7.4),75.4 (+/- 6.7),50.1 (+/- 19.7),92.5 (+/- 3.9),43.2 (+/- 24.0),LogisticRegression,bg_m_cat_scalar_TIC_all_LogisticRegression
83.6 (+/- 7.0),23.5 (+/- 5.9),76.5 (+/- 5.8),76.6 (+/- 6.1),76.5 (+/- 5.7),54.9 (+/- 17.2),91.2 (+/- 2.9),49.1 (+/- 20.7),LinearRegression,bg_m_cat_scalar_TIC_all_LinearRegression
88.5 (+/- 6.3),17.1 (+/- 6.9),83.1 (+/- 6.3),82.7 (+/- 7.6),83.1 (+/- 6.1),62.6 (+/- 24.9),89.9 (+/- 0.6),58.6 (+/- 28.4),RandomForest,bg_m_cat_scalar_all_RandomForest
88.3 (+/- 2.9),20.2 (+/- 6.0),80.0 (+/- 5.9),79.6 (+/- 6.4),80.1 (+/- 5.8),61.9 (+/- 15.1),90.6 (+/- 1.3),57.4 (+/- 17.6),SVM,bg_m_cat_scalar_all_SVM
88.6 (+/- 5.1),19.2 (+/- 6.4),80.9 (+/- 6.3),80.8 (+/- 6.5),80.9 (+/- 6.3),67.6 (+/- 14.3),89.9 (+/- 0.6),64.3 (+/- 16.3),NN,bg_m_cat_scalar_all_NN
82.5 (+/- 7.0),25.1 (+/- 5.9),74.9 (+/- 6.0),75.0 (+/- 5.8),74.8 (+/- 6.1),48.7 (+/- 18.8),92.5 (+/- 4.0),41.7 (+/- 22.6),LogisticRegression,bg_m_cat_scalar_all_LogisticRegression
86.5 (+/- 2.3),21.3 (+/- 2.7),78.1 (+/- 2.0),79.5 (+/- 4.1),77.9 (+/- 1.8),64.9 (+/- 14.4),89.9 (+/- 0.6),61.2 (+/- 16.0),LinearRegression,bg_m_cat_scalar_all_LinearRegression
