ScanID,elongation,flatness
129_8_0,1.169104395,1.382559321
129_9_0,1.312897189,1.335327551
130_1_0,1.701823732,1.44663529
130_10_0,1.581185276,1.144784611
130_11_0,1.643518335,2.082891945
130_12_0,1.628009517,2.146262526
130_13_0,1.22528143,1.735228103
130_14_0,1.40140425,1.851675272
130_15_0,1.468858446,1.461585567
130_2_0,1.761860205,1.670617526
130_3_0,1.542191005,1.77300193
130_4_0,1.416840075,2.445755014
130_5_0,1.222494307,1.814690727
130_6_0,1.49258243,2.839761233
130_7_0,2.125858979,1.558563543
130_8_0,1.590558387,2.309345249
130_9_0,1.549139648,1.146785945
131_1_0,1.163696332,1.205720048
131_2_0,1.448762514,1.175119484
132_1_0,1.417976841,1.338835675
132_2_0,1.392102694,1.456711753
132_3_0,1.133894769,1.223908892
132_4_0,1.101470119,1.534123583
133_1_0,1.267731328,1.598563099
134_1_0,1.339083425,1.021481988
134_10_0,1.214071573,2.057833819
134_11_0,1.200999334,2.730451221
134_12_0,1.280504148,1.763075495
134_13_0,1.646775364,3.038662884
134_14_0,1.368844195,2.124635977
134_15_0,1.21882669,3.861922243
134_16_0,1.178975576,3.24376679
134_17_0,1.778508427,1.333585984
134_18_0,2.689768027,1.472863059
134_19_0,1.653882444,1.57766025
134_2_0,1.244531542,1.545828979
134_3_0,1.265008277,2.117287977
134_4_0,1.18476639,1.191962647
134_5_0,1.165087149,2.191537204
134_6_0,1.460621403,3.040714751
134_7_0,1.485253302,1.536816449
134_8_0,1.294258732,1.075509951
134_9_0,1.576351631,1.995729444
135_1_0,1.044816274,1.327372976
135_10_0,1.106559503,1.755497048
135_11_0,1.308904765,1.900105028
135_2_0,1.636122102,1.681818218
135_3_0,1.279956781,2.20890108
135_4_0,1.198334713,1.701346678
135_5_0,1.54607373,1.519224438
135_6_0,1.244171739,1.56938128
135_7_0,1.504889543,1.246347078
135_8_0,1.513695683,2.060035653
135_9_0,1.306013255,2.034963198
138_1_0,1.394368097,2.276111889
138_2_0,1.618236171,1.721023061
138_3_0,1.730474762,1.189661273
139_1_0,1.570339312,1.678691075
139_2_0,1.635578507,1.167084368
139_3_0,1.738000528,1.52523918
139_4_0,1.214946998,1.539048288
139_5_0,1.444967443,1.395642853
139_6_0,1.221538525,1.307599998
139_7_0,1.298639751,1.274498776
14_1_0,1.286923613,3.38767719
14_2_0,1.501453389,2.435045168
14_3_0,1.425625535,1.690075798
140_1_0,1.664119029,2.556339265
140_2_0,1.411638721,1.321804475
140_3_0,1.335247724,1.470909973
140_4_0,1.34742331,1.748344869
140_5_0,1.438568562,1.591263613
140_6_0,2.042026989,1.329689812
140_7_0,1.286174444,1.76038083
140_8_0,1.257280436,1.744011843
140_9_0,1.558550561,1.214412543
141_1_0,2.561423982,1.225304528
141_2_0,1.34965714,1.325601912
141_3_0,1.777603155,1.05863132
141_4_0,1.788421389,1.432464031
141_5_0,1.673327878,1.893741734
141_6_0,2.58644349,1.046157887
141_7_0,1.320856197,1.281430873
143_1_0,1.611775341,2.372551129
143_2_0,1.481380394,1.318191048
143_3_0,1.821037164,1.601403084
143_4_0,1.46686035,1.19116688
143_5_0,1.616152083,1.258033471
145_1_0,2.721681906,1.126978349
146_1_0,1.230137222,2.299038285
146_2_0,1.498573988,1.184653126
148_1_0,1.091154732,1.436419534
148_2_0,1.491021708,2.274943782
148_3_0,1.874016297,1.571724972
148_4_0,1.855415878,2.098578052
148_5_0,1.53426284,1.568707628
148_6_0,1.722770212,1.325227053
15_1_0,1.393900388,1.856631815
15_2_0,1.531526271,1.432865655
15_3_0,1.207206496,2.622045867
15_4_0,1.813742241,2.391214565
15_5_0,1.505508799,1.482631112
15_6_0,1.491912911,1.425556024
15_7_0,2.453142231,2.621145574
15_8_0,1.302221993,1.504263192
15_9_0,1.736275516,1.335606601
152_1_0,1.371792065,1.74082728
152_2_0,1.338806567,1.407778512
152_3_0,1.833708296,1.383273341
152_4_0,1.426794335,1.467945085
152_5_0,1.666721764,1.169362155
152_6_0,1.321574417,1.292009666
152_7_0,1.38633724,1.493750428
152_8_0,1.216473273,2.089477378
152_9_0,1.593637653,1.246955021
153_1_0,1.378966648,2.189858032
153_2_0,1.738848588,1.315542138
153_3_0,1.409023562,1.773394696
153_4_0,1.784152664,1.529853023
153_5_0,1.658879221,1.560828482
155_1_0,1.443518292,1.754771328
156_1_0,1.954929989,2.599439208
156_2_0,1.409638743,1.669489942
156_3_0,1.289645178,2.22385575
158_1_0,1.191609007,1.309189074
158_1_1,1.191609007,1.309189074
158_1_2,1.191609007,1.309189074
158_1_3,1.191609007,1.309189074
158_10_0,1.309170063,1.430605492
158_11_0,1.520172949,1.044244849
158_12_0,1.833777582,1.192003981
158_13_0,1.400791692,1.363731642
158_2_0,1.459091029,1.205527159
158_3_0,1.301287806,1.319480012
158_4_0,1.485693712,1.200340572
158_5_0,1.327597466,1.327494494
158_6_0,1.867056623,1.091949262
158_7_0,1.215385966,1.356893944
158_8_0,1.303185065,1.659206628
158_9_0,1.389182542,1.171160942
159_1_0,1.401061149,1.233826403
159_2_0,1.895831717,1.621945866
159_3_0,1.097368127,1.458465106
159_4_0,1.536829833,1.275365247
16_1_0,1.189010738,1.973752802
16_2_0,1.117729278,1.945245188
16_3_0,1.703883631,1.663840464
16_4_0,1.191751741,2.198561087
16_5_0,1.6471932,1.090433131
161_1_0,1.29618622,1.62080548
161_2_0,1.429768632,1.465553592
161_3_0,1.036680461,1.610511287
161_4_0,1.154812224,1.851665426
161_5_0,1.325663525,1.136783441
162_1_0,1.213509435,2.163302437
162_2_0,1.119713494,1.326259403
162_3_0,1.185991427,1.828764976
162_4_0,1.848501031,1.375871527
162_5_0,1.796528801,2.32258314
162_6_0,1.207415819,1.284793629
162_7_0,1.582573346,1.252820316
164_1_0,1.403101171,1.417823096
164_2_0,1.363608677,2.379896319
164_3_0,1.182311808,1.099074236
165_1_0,1.293276703,1.938318683
166_1_0,1.394194154,1.487308371
166_2_0,1.55834259,1.320986613
166_3_0,1.421602599,2.560492756
166_4_0,1.556717238,1.81130686
166_5_0,1.459256324,2.071358123
168_1_0,1.326529556,1.887676844
168_2_0,1.317178454,2.446964807
168_3_0,1.284132449,1.43459162
168_4_0,1.458045035,1.6360915
17_1_0,1.062758637,2.733110601
17_2_0,1.503956766,1.63442458
170_1_0,1.304352787,3.308218421
170_2_0,1.235091531,1.35229518
170_3_0,1.269777767,1.612155228
170_4_0,1.276392559,1.48547994
170_5_0,1.215375497,1.694465831
171_1_0,1.554359887,1.297787823
172_1_0,1.517016079,1.363243567
172_2_0,1.464182068,1.49166624
172_3_0,1.353702808,1.271706204
172_4_0,1.185154612,3.019830276
172_5_0,1.401667814,1.695894029
173_1_0,1.389006363,1.354135433
173_2_0,1.137718455,2.096324676
175_1_0,1.528233757,1.44528672
175_2_0,1.308731397,1.110986923
175_3_0,1.451513519,1.234083938
175_4_0,1.422084676,1.324657424
175_5_0,1.595110637,1.198881825
175_6_0,1.218984516,1.107840481
177_1_0,1.238005729,1.128905538
178_1_0,1.157870712,1.550087237
178_2_0,1.124572446,2.100989719
178_3_0,1.449749063,1.190125357
178_4_0,1.429726506,1.260801719
178_5_0,1.27954799,1.275978744
178_6_0,1.467354579,1.815029415
179_1_0,1.234502353,1.459690425
18_1_0,1.478509149,1.476443651
18_2_0,1.195655058,2.170239523
18_3_0,1.452918595,1.442660463
181_1_0,1.113050672,1.338902813
181_2_0,1.241425843,2.406746602
181_3_0,1.241128982,1.344298574
181_4_0,1.642329585,1.966964877
182_1_0,1.27663155,1.93572355
182_2_0,1.153401606,2.158686943
182_3_0,1.361639526,1.621147804
183_1_0,1.940342531,1.776440551
184_1_0,1.77276477,1.427592729
184_2_0,1.315573661,1.559432142
185_1_0,1.510954567,1.327228837
185_2_0,1.323024938,1.179014614
185_3_0,1.141106994,2.279081947
186_1_0,1.183691687,2.060270493
186_2_0,1.047179444,1.349277068
186_3_0,1.452176423,1.543470233
186_4_0,1.470376386,1.346025134
188_1_0,1.712337059,1.756107299
188_2_0,1.595466584,1.426407427
188_3_0,1.69467548,1.329268817
188_4_0,1.463929548,1.174891258
188_5_0,1.299045848,1.940090287
189_1_0,1.390113041,1.29749845
189_2_0,1.599901055,1.148237027
189_3_0,1.559539599,1.670627842
19_1_0,1.12853604,1.197532513
19_10_0,1.524531162,1.334398664
19_11_0,1.591392985,1.689060045
19_12_0,1.248336334,1.572987284
19_13_0,1.483240131,1.481034408
19_2_0,1.291647654,1.294217382
19_3_0,1.274574571,2.405940552
19_4_0,1.096394451,1.179047013
19_5_0,1.365078182,1.102327952
19_6_0,1.301230935,1.401118213
19_7_0,1.319552099,1.480010019
19_8_0,1.49252187,1.37438506
19_9_0,1.253604693,1.21004705
190_1_0,1.294233258,1.189799736
190_2_0,1.464487993,1.375438064
190_3_0,1.420197937,1.746096157
194_1_0,1.739992905,1.207463197
194_2_0,1.59887314,2.039177276
194_3_0,1.300397085,1.374536606
194_4_0,1.445837841,1.190464407
194_5_0,1.619911758,1.052999068
194_6_0,1.249096487,2.390788584
194_7_0,1.327234036,1.36811872
194_8_0,1.499709136,1.290125551
195_1_0,1.156997345,1.851475406
195_2_0,1.691296657,2.305801931
195_3_0,1.199224348,2.357461356
195_4_0,2.214155551,1.523928469
195_5_0,1.130558409,1.148832911
195_6_0,1.451169649,1.457085398
195_7_0,1.455251263,1.745223513
195_8_0,1.470474114,1.287180323
195_9_0,1.772163864,1.916397321
2_1_0,1.439656437,1.419839867
2_2_0,1.236213336,1.489727431
20_1_0,1.248699348,1.696934527
20_2_0,1.170994057,1.506535477
20_3_0,1.443118601,1.343806396
20_4_0,1.68486398,1.226563483
200_1_0,1.332987631,1.679044475
200_2_0,1.637717689,1.277928062
201_1_0,1.281046653,2.054460347
201_2_0,1.162738933,2.451358923
202_1_0,1.497323901,2.209831504
202_2_0,1.173120274,1.212371542
202_3_0,1.360642245,1.748262015
202_4_0,1.485715154,1.172773981
202_5_0,1.561136027,1.603307212
202_6_0,1.583807234,1.879739535
205_1_0,1.586146488,2.012494574
205_2_0,1.432511522,1.583777849
206_1_0,1.796382177,1.539260514
207_1_0,1.321272532,1.502997506
207_2_0,1.442389828,1.170512649
207_3_0,1.51560411,1.390146874
207_4_0,1.202986513,2.014759224
208_1_0,1.166241233,1.895599447
21_1_0,1.139944867,1.939495307
21_2_0,1.330414087,1.253663538
210_1_0,1.201393267,1.308236008
210_2_0,1.354225997,1.985765857
210_3_0,1.124693367,3.893020733
211_1_0,1.334613008,1.256458979
211_2_0,1.298048189,2.205620158
211_3_0,1.1103592,3.613435779
212_1_0,1.579021921,1.270946461
213_1_0,1.091175717,2.03300812
213_2_0,1.206801893,1.093936108
213_3_0,1.276764807,2.277975569
213_4_0,1.402616473,1.446638274
214_1_0,1.268131903,1.404944232
214_2_0,1.294355507,1.640877161
214_3_0,1.546507047,1.215004849
217_1_0,1.442824042,1.165507941
217_2_0,1.505614441,1.54515006
218_1_0,1.811420614,1.467110197
218_2_0,1.835120521,1.863052602
218_3_0,1.39589414,2.305837427
218_4_0,1.352660696,1.219619743
218_5_0,1.239926558,2.24786859
219_1_0,1.144577926,1.512314538
219_10_0,1.567408997,1.621718713
219_2_0,1.338603847,1.252262268
219_3_0,1.243179221,1.05679553
219_4_0,1.3040321,1.231818601
219_5_0,1.435509648,1.086912161
219_6_0,1.457490847,1.337140941
219_7_0,1.248670131,1.486215569
219_8_0,1.191364321,1.461727294
219_9_0,1.302022491,1.468517881
22_1_0,1.110960548,1.840559979
22_2_0,1.86626026,1.510885061
22_3_0,1.192855017,1.929864664
22_4_0,1.171061777,2.107152167
22_5_0,1.05644481,1.298655443
220_1_0,1.184832728,1.600320231
220_2_0,1.121698717,1.5848392
220_3_0,1.419075441,1.380042282
220_4_0,1.390561412,1.723504771
221_1_0,1.336968038,1.356509937
221_2_0,1.262230047,1.165742205
222_1_0,1.311344373,2.296248685
222_2_0,1.136924923,2.611978861
222_3_0,1.371343821,1.435557103
222_4_0,1.362743213,1.419314055
222_5_0,1.73300484,1.689834136
222_6_0,1.222269394,1.402396687
222_7_0,1.375893695,1.153100094
222_8_0,1.272246376,1.437802125
227_1_0,1.218115742,1.82613034
227_2_0,1.104129464,1.882582616
228_1_0,1.290563071,2.246064524
229_1_0,1.495916931,1.633877744
229_2_0,1.325642517,1.66224603
229_3_0,1.142441229,1.911326743
229_4_0,1.384515176,1.64620337
229_5_0,1.062942,1.430576059
229_6_0,1.296771662,1.557222071
229_7_0,1.675102031,1.409495463
229_8_0,1.368236288,1.495117297
23_1_0,1.227904849,1.987457567
23_10_0,1.320746439,1.852967582
23_11_0,1.302871958,2.270066333
23_12_0,1.850982988,1.206593067
23_13_0,1.378842923,2.267009711
23_14_0,1.149328033,2.269360279
23_2_0,2.566293845,1.320096557
23_3_0,1.753163224,1.337246653
23_4_0,1.28593984,2.428745205
23_5_0,1.729290757,1.269951395
23_6_0,1.213672074,2.431598705
23_7_0,1.865102555,1.294544028
23_8_0,1.541921202,1.840349961
23_9_0,1.297595961,1.648754122
230_1_0,1.407047915,1.046517184
230_2_0,1.578222546,1.244617997
231_1_0,1.020331267,1.498798449
232_1_0,2.420487199,1.386619089
233_1_0,1.309838791,1.335595635
233_2_0,1.587900743,1.78466731
236_1_0,1.134786915,1.556040743
238_1_0,1.277691795,1.398488472
238_2_0,1.342230651,1.617667131
238_3_0,1.47302723,1.147075431
24_1_0,1.335939705,1.461222564
24_2_0,1.707452492,1.542179715
24_3_0,1.331741582,1.475178986
24_4_0,1.609728879,1.452380054
24_5_0,1.196786427,1.62440472
240_1_0,1.346672578,1.861071606
240_2_0,1.261981054,1.261191881
243_1_0,1.258109971,1.706385372
243_2_0,1.192693649,1.464829038
243_3_0,1.478037607,1.557938231
243_4_0,1.445541563,2.01697735
243_5_0,1.103255343,1.70560751
245_1_0,1.573355791,1.738331473
245_2_0,1.20789904,1.083987373
245_3_0,1.223410027,1.703516762
246_1_0,1.356043225,1.707396643
247_1_0,1.289115569,1.349151867
247_2_0,1.760729867,1.282602466
248_1_0,1.434176133,1.504965511
248_2_0,1.754120922,1.060850928
248_3_0,1.209624047,2.438592162
249_1_0,1.508506205,1.280427277
25_1_0,1.332929594,1.932270371
25_10_0,1.68679049,1.053470027
25_11_0,1.426478865,1.178675598
25_12_0,1.596299576,1.247229928
25_13_0,1.76443439,1.382186061
25_14_0,1.516277657,2.008910692
25_15_0,1.198042881,1.175803024
25_2_0,1.445458055,1.96458804
25_3_0,1.419479651,1.836724771
25_4_0,1.409995361,1.525423065
25_5_0,1.247498521,2.150139821
25_6_0,1.106385697,2.640464754
25_7_0,2.015242992,1.294730166
25_8_0,1.336630111,1.724617204
25_9_0,1.568726432,2.532205299
251_1_0,1.0763433,1.262659712
252_1_0,1.215667482,2.386662192
252_2_0,1.2433762,1.658162927
252_3_0,1.767587029,1.31593219
256_1_0,1.835645752,1.222928979
256_2_0,1.717847232,1.94727891
256_3_0,1.117161755,1.598703062
256_4_0,1.310648581,1.597511005
256_5_0,1.429864172,1.733679932
256_6_0,1.458707206,1.267870567
256_7_0,1.288315279,2.039877047
256_8_0,1.444579025,2.034236535
256_9_0,1.529774347,1.6164449
257_1_0,1.550436956,3.000121463
257_2_0,1.877203456,1.736847359
257_3_0,1.585849729,1.434953682
258_1_0,1.95038441,1.172032036
259_1_0,1.525581973,1.685120825
26_1_0,1.112553389,1.415164844
26_2_0,2.159015515,1.342852497
26_3_0,1.257265269,1.895680329
260_1_0,1.169149242,1.589700714
260_2_0,1.270755129,1.41955142
260_3_0,1.103422082,1.931379801
260_4_0,1.322117245,1.189181173
262_1_0,1.371741496,1.224747154
263_1_0,1.583627737,1.464838197
263_2_0,1.12519292,1.909577576
263_3_0,1.696071001,1.376772757
263_4_0,1.301406905,1.062445855
263_5_0,1.606445304,1.243080123
263_6_0,1.934778253,1.055786449
263_7_0,1.633443689,1.576450853
263_8_0,1.33892659,1.853572617
263_9_0,1.861282587,1.994711469
264_1_0,1.445230558,1.722950158
264_2_0,1.137211023,1.659110341
264_3_0,1.442522783,2.234064382
264_4_0,1.235990819,1.347619303
264_5_0,2.070257398,1.398805461
264_6_0,1.484845331,1.577797359
264_7_0,1.416727296,1.279894556
264_8_0,1.145953268,1.595840889
264_9_0,1.13562655,2.041362583
265_1_0,1.059980247,1.896822013
265_10_0,1.367872119,1.076609668
265_2_0,1.492424306,1.702297993
265_3_0,1.118172461,1.600847452
265_4_0,1.486359898,1.464758532
265_5_0,1.132425703,1.722783367
265_6_0,1.558929622,1.549958385
265_7_0,1.321114697,2.110997851
265_8_0,1.178937148,1.210022463
265_9_0,1.448296735,1.208405212
266_1_0,1.385612226,1.973704535
266_2_0,1.229171401,1.122146824
266_3_0,1.506662581,1.303973708
266_4_0,1.584538201,1.265326945
266_5_0,2.028350577,1.332273864
266_6_0,2.042393392,1.128704081
268_1_0,1.908950043,1.902515553
268_2_0,1.327750157,2.002572579
268_3_0,1.465504677,1.262899632
27_1_0,1.412028277,1.13381882
270_1_0,1.730589777,1.790489486
270_2_0,1.264171467,1.65026138
270_3_0,1.237501954,1.881108326
271_1_0,1.344627022,1.162667303
275_1_0,1.27190804,1.335604651
275_2_0,1.415196408,2.70666252
275_3_0,1.056087677,1.123131613
275_4_0,1.569926561,1.230010169
275_5_0,1.673799149,1.558979594
276_1_0,1.28815452,1.906689217
276_2_0,1.795863282,2.301576683
279_1_0,1.67528648,1.061436309
28_1_0,1.172430401,1.279977511
28_2_0,1.110515861,1.770870654
280_1_0,1.17627845,1.854681158
280_2_0,1.387899215,1.54847535
280_3_0,1.325820108,1.345762905
280_4_0,1.270745953,1.624629489
280_5_0,1.470430374,1.179986018
285_1_0,1.206981516,2.077447525
285_2_0,1.381708814,1.721246003
286_1_0,1.336222873,1.405197042
289_1_0,1.259638689,1.369152939
289_2_0,1.318582475,1.122895077
289_3_0,1.223242264,1.135173448
289_4_0,1.378353574,1.225728429
289_5_0,1.503189094,1.787765651
289_6_0,1.236438791,1.919876685
29_1_0,1.523460662,1.567483881
29_2_0,1.409721249,1.605267432
29_3_0,1.552980442,1.494633941
29_4_0,1.21738751,1.8145501
29_5_0,1.620283054,1.25229644
29_6_0,1.370429306,2.510999776
29_7_0,2.146399488,1.236781756
290_1_0,1.643254644,1.580130226
290_2_0,1.311167542,2.140160037
290_3_0,1.402227611,1.052748042
294_1_0,1.559698722,1.849527724
294_2_0,1.848321556,1.190973234
294_3_0,1.041142968,1.420040225
295_1_0,1.340170952,1.449387447
295_2_0,1.461359406,1.418169884
295_3_0,1.695249173,1.454308185
297_1_0,1.754742815,1.340924411
297_2_0,1.408470093,1.343506457
297_3_0,1.451958166,1.509519253
298_1_0,1.245439998,1.520114011
298_2_0,1.043969815,1.221577793
298_3_0,1.185463958,1.350657701
299_1_0,1.381308872,1.153553725
299_2_0,1.151560696,1.490832327
3_1_0,1.804191382,1.022599691
3_2_0,1.404335288,1.778725191
3_3_0,1.336304636,2.191555725
3_4_0,1.238072154,2.069063961
3_5_0,1.514313833,2.010631374
30_1_0,1.143333674,1.400110694
30_2_0,1.054886792,1.824478883
30_3_0,1.224022972,2.557777968
30_4_0,1.618873284,1.388314328
30_5_0,1.397442681,1.338123937
30_6_0,1.444026515,1.655309538
300_1_0,1.339496171,2.508867966
301_1_0,1.377779447,1.94379433
31_1_0,1.313889871,1.175177753
32_1_0,2.051112334,1.470529596
32_2_0,1.098672535,1.53066205
32_2_1,1.098672535,1.53066205
32_2_2,1.098672535,1.53066205
32_3_0,1.558496014,1.3069386
32_4_0,1.340767204,1.892992761
32_5_0,1.342976215,1.523142191
32_6_0,1.683352544,1.398944753
32_7_0,1.513175365,1.22802053
32_8_0,1.937537621,1.110982091
33_1_0,1.151700441,1.670191795
33_3_0,1.390252625,1.280022007
33_4_0,1.279198325,2.182828086
33_5_0,1.440363555,2.064099113
33_6_0,1.290551092,1.250499002
33_7_0,1.137729283,1.209253755
36_1_0,1.446369005,2.478025645
36_10_0,1.639240376,1.370027114
36_11_0,1.545310727,1.356800444
36_12_0,1.4158022,1.287602217
36_13_0,1.716235699,1.44254258
36_2_0,1.802774893,2.41167942
36_3_0,1.378720453,2.387233372
36_4_0,1.56445029,2.741381854
36_5_0,1.09114726,1.341809744
36_6_0,1.682298931,2.060236211
36_7_0,1.752874456,1.751757386
36_8_0,2.018521452,1.10042057
36_9_0,1.288951086,1.22089429
37_1_0,1.69701155,1.448494326
37_2_0,1.135634172,1.643100402
37_3_0,1.250750157,2.025929859
37_4_0,1.132257436,1.776908325
37_5_0,1.475107599,1.424068374
37_6_0,1.327643923,1.983306394
37_7_0,1.859668901,2.086678846
38_1_0,1.488268131,1.546569826
38_2_0,1.238156877,2.413668119
4_1_0,1.687403138,1.405334222
42_1_0,1.667860478,1.912742015
44_1_0,1.396790096,2.548617921
44_2_0,1.491219381,1.714442453
44_3_0,1.61211061,1.47104654
44_4_0,1.360785171,2.416489797
45_1_0,1.661724542,1.861536495
45_2_0,1.314769688,1.256520317
45_3_0,1.523311554,1.868582686
49_1_0,1.476999983,1.573626067
49_2_0,1.336897381,1.560550696
49_3_0,1.21452755,2.112855277
49_4_0,1.306333047,1.56130331
5_1_0,1.303953941,1.57196614
5_2_0,1.145537948,1.400621794
