ScanID,max_slope
134_7_0,0.013729394
134_8_0,0.017866224
134_9_0,0.007199019
135_1_0,0.004926741
135_10_0,0.026149154
135_11_0,0.046425283
135_2_0,0.011551201
135_3_0,0.01734358
135_4_0,0.012732446
135_5_0,0.01692012
135_6_0,0.015313208
135_7_0,0.014063478
135_8_0,0.021158576
135_9_0,0.019335657
138_1_0,0.014873773
138_2_0,0.015274882
138_3_0,0.011736393
139_1_0,0.013366565
139_2_0,0.017585412
139_3_0,0.005895451
139_4_0,0.009095565
139_5_0,0.022510499
139_6_0,0.020015314
139_7_0,0.016156584
14_1_0,0.015624464
14_2_0,0.009479359
14_3_0,0.015705273
140_1_0,0.02371785
140_2_0,0.013802797
140_3_0,0.008746445
140_4_0,0.014137715
140_5_0,0.013239652
140_6_0,0.020833373
140_7_0,0.017558485
140_8_0,0.017305166
140_9_0,0.025185734
141_1_0,0.011247426
141_2_0,0.027711377
141_3_0,0.011824265
141_4_0,0.014551193
141_5_0,0.013812721
141_6_0,0.020987332
141_7_0,0.022270113
143_1_0,0.020115837
143_2_0,0.03072603
143_3_0,0.03745015
143_4_0,0.03585422
143_5_0,0.015198842
145_1_0,0.025536656
146_1_0,0.005871624
146_2_0,0.004862338
148_1_0,0.007200271
148_2_0,0.025137916
148_3_0,0.015608355
148_4_0,0.015683457
148_5_0,0.022492021
148_6_0,0.017374873
15_1_0,0.011393487
15_2_0,0.023396775
15_3_0,0.012615398
15_4_0,0.016828597
15_5_0,0.032182068
15_6_0,0.030916736
15_7_0,0.038802564
15_8_0,0.030322641
15_9_0,0.033755288
152_1_0,0.013639376
152_2_0,0.017796233
152_3_0,0.03494306
152_4_0,0.035092205
152_5_0,0.026597485
152_6_0,0.038999543
152_7_0,0.018009037
152_8_0,0.022553816
152_9_0,0.03849791
153_1_0,0.025697008
153_2_0,0.01935114
153_3_0,0.014532402
153_4_0,0.013103426
153_5_0,0.02692701
155_1_0,0.009785622
156_1_0,0.013143182
156_2_0,0.010050043
156_3_0,0.007790327
158_1_0,0.057604015
158_1_1,0.057604015
158_1_2,0.057604015
158_1_3,0.057604015
158_10_0,0.025111616
158_11_0,0.021549672
158_12_0,0.019952
158_13_0,0.06272912
158_2_0,0.05602026
158_3_0,0.033231676
158_4_0,0.03861749
158_5_0,0.034378886
158_6_0,0.04660377
158_7_0,0.023511738
158_8_0,0.051927984
158_9_0,0.022890031
159_1_0,0.008258879
159_2_0,0.006055415
159_3_0,0.022530764
159_4_0,0.021513492
16_1_0,0.010684371
16_2_0,0.012091875
16_3_0,0.014232993
16_4_0,0.033127397
16_5_0,0.043996304
161_1_0,0.010818541
161_2_0,0.016889513
161_3_0,0.019536555
161_4_0,0.024526417
161_5_0,0.01355651
162_1_0,0.028360695
162_2_0,0.062825635
162_3_0,0.020439178
162_4_0,0.06692305
162_5_0,0.054318488
162_6_0,0.043782964
162_7_0,0.066936076
164_1_0,0.005050659
164_2_0,0.00807929
164_3_0,0.003755778
165_1_0,0.021215767
166_1_0,0.008030236
166_2_0,0.007352218
166_3_0,0.006748393
166_4_0,0.016203046
166_5_0,0.017485783
168_1_0,0.010979787
168_2_0,0.012631357
168_3_0,0.007417098
168_4_0,0.028956667
17_1_0,0.008991003
17_2_0,0.008015797
170_1_0,0.010684773
170_2_0,0.038772553
170_3_0,0.022368893
170_4_0,0.014705569
170_5_0,0.031888634
171_1_0,0.009550422
172_1_0,0.03760627
172_2_0,0.022359073
172_3_0,0.023538113
172_4_0,0.021265477
172_5_0,0.018289745
173_1_0,0.03039077
173_2_0,0.018595427
175_1_0,0.009829938
175_2_0,0.019729346
175_3_0,0.015485495
175_4_0,0.009512782
175_5_0,0.011963427
175_6_0,0.013595015
177_1_0,0.00563702
178_1_0,0.010572255
178_2_0,0.017035753
178_3_0,0.013266563
178_4_0,0.012521923
178_5_0,0.022948176
178_6_0,0.011855423
179_1_0,0.013339698
18_1_0,0.006735981
18_2_0,0.011667401
18_3_0,0.005275875
181_1_0,0.022980034
181_2_0,0.035163224
181_3_0,0.039430976
181_4_0,0.021602213
182_1_0,0.04464227
182_2_0,0.041764498
182_3_0,0.02928698
183_1_0,0.026803792
184_1_0,0.009201855
184_2_0,0.009557009
185_1_0,0.010880172
185_2_0,0.027938008
185_3_0,0.03588447
186_1_0,0.012942672
186_2_0,0.034261256
186_3_0,0.010993242
186_4_0,0.007784382
188_1_0,0.01900056
188_2_0,0.008425444
188_3_0,0.011805669
188_4_0,0.019565582
188_5_0,0.021063372
189_1_0,0.009950891
189_2_0,0.018379748
189_3_0,0.01879777
19_1_0,0.008567855
19_10_0,0.009073213
19_11_0,0.011152297
19_12_0,0.008621067
19_13_0,0.016468614
19_2_0,0.009646937
19_3_0,0.008280292
19_4_0,0.015530601
19_5_0,0.008130685
19_6_0,0.008342177
19_7_0,0.009328514
19_8_0,0.011843458
19_9_0,0.027655408
190_1_0,0.004153311
190_2_0,0.00407964
190_3_0,0.007110417
194_1_0,0.014363155
194_2_0,0.016384661
194_3_0,0.014554292
194_4_0,0.02619487
194_5_0,0.02878216
194_6_0,0.031062081
194_7_0,0.031115994
194_8_0,0.016778827
195_1_0,0.016527176
195_2_0,0.018714607
195_3_0,0.006295323
195_4_0,0.026023954
195_5_0,0.017962098
195_6_0,0.034050196
195_7_0,0.023836553
195_8_0,0.02375403
195_9_0,0.02837947
2_1_0,0.011300162
2_2_0,0.019342735
20_1_0,0.018269092
20_2_0,0.013739064
20_3_0,0.013247624
20_4_0,0.025207907
200_1_0,0.01910156
200_2_0,0.029608399
201_1_0,0.033897534
201_2_0,0.033099294
202_1_0,0.006811872
202_2_0,0.00698027
202_3_0,0.00931327
202_4_0,0.004146665
202_5_0,0.003891394
202_6_0,0.006752163
205_1_0,0.010758206
205_2_0,0.019966274
206_1_0,0.02280277
207_1_0,0.014931485
207_2_0,0.024692968
207_3_0,0.028516665
207_4_0,0.035100505
208_1_0,0.013537392
21_1_0,0.012512505
21_2_0,0.02085957
210_1_0,0.02587001
210_2_0,0.024035096
210_3_0,0.03452292
211_1_0,0.014517665
211_2_0,0.025909632
211_3_0,0.031017482
212_1_0,0.018690139
213_1_0,0.008784711
213_2_0,0.043584973
213_3_0,0.04329425
213_4_0,0.023777425
214_1_0,0.04288879
214_2_0,0.032105416
214_3_0,0.044775367
217_1_0,0.036396563
217_2_0,0.019165069
218_1_0,0.040070474
218_2_0,0.019497976
218_3_0,0.008893847
218_4_0,0.010213569
218_5_0,0.02730529
219_1_0,0.03325066
219_10_0,0.021852732
219_2_0,0.01893884
219_3_0,0.028241605
219_4_0,0.02058664
219_5_0,0.027555242
219_6_0,0.03041479
219_7_0,0.026362002
219_8_0,0.01712896
219_9_0,0.02125007
22_1_0,0.019318625
22_2_0,0.007747069
22_3_0,0.0067074
22_4_0,0.013048902
22_5_0,0.019284502
220_1_0,0.01538223
220_2_0,0.02480501
220_3_0,0.019593537
220_4_0,0.018546566
221_1_0,0.018703967
221_2_0,0.01665008
222_1_0,0.048324913
222_2_0,0.026280463
222_3_0,0.030890197
222_4_0,0.020174444
222_5_0,0.04411146
222_6_0,0.013051093
222_7_0,0.033079714
222_8_0,0.03159198
227_1_0,0.030812949
227_2_0,0.020645529
228_1_0,0.019012243
229_1_0,0.025397837
229_2_0,0.012721926
229_3_0,0.012041569
229_4_0,0.020771682
229_5_0,0.022561759
229_6_0,0.02182141
229_7_0,0.015178949
229_8_0,0.019181207
23_1_0,0.015861616
23_10_0,0.016768098
23_11_0,0.012559533
23_12_0,0.01592061
23_13_0,0.027267188
23_14_0,0.014467374
23_2_0,0.012952462
23_3_0,0.007568434
23_4_0,0.011177421
23_5_0,0.006392017
23_6_0,0.01429531
23_7_0,0.010071024
23_8_0,0.023045003
23_9_0,0.010528535
230_1_0,0.014511928
230_2_0,0.014412507
231_1_0,0.016354695
232_1_0,0.007152677
233_1_0,0.012315899
233_2_0,0.01664181
236_1_0,0.022519216
238_1_0,0.012527317
238_2_0,0.012267739
238_3_0,0.023930281
24_1_0,0.032678753
24_2_0,0.022366911
24_3_0,0.016260147
24_4_0,0.021298856
24_5_0,0.018364727
240_1_0,0.011548549
240_2_0,0.0302037
243_1_0,0.005749434
243_2_0,0.005535334
243_3_0,0.009301707
243_4_0,0.007852539
243_5_0,0.006914541
245_1_0,0.020822972
245_2_0,0.021139562
245_3_0,0.013830155
246_1_0,0.012296483
247_1_0,0.015102461
247_2_0,0.011218607
248_1_0,0.008877859
248_2_0,0.010777205
248_3_0,0.007478625
249_1_0,0.009207621
25_1_0,0.013023198
25_10_0,0.009850293
25_11_0,0.028754085
25_12_0,0.024501354
25_13_0,0.014062732
25_14_0,0.033304602
25_15_0,0.02357778
25_2_0,0.009704143
25_3_0,0.009910584
25_4_0,0.011792451
25_5_0,0.014273733
25_6_0,0.014109343
25_7_0,0.012748301
25_8_0,0.011981308
25_9_0,0.018583506
251_1_0,0.04059398
252_1_0,0.022329286
252_2_0,0.012730032
252_3_0,0.02567096
256_1_0,0.011050344
256_2_0,0.011252224
256_3_0,0.010578662
256_4_0,0.008841366
256_5_0,0.011311978
256_6_0,0.011782646
256_7_0,0.011724442
256_8_0,0.012970686
256_9_0,0.012759477
257_1_0,0.024131835
257_2_0,0.013297796
257_3_0,0.010832816
258_1_0,0.012003273
259_1_0,0.014082611
26_1_0,0.012820452
26_2_0,0.016191632
26_3_0,0.012413055
260_1_0,0.016425654
260_2_0,0.050352126
260_3_0,0.010422781
260_4_0,0.03496085
262_1_0,0.013965428
263_1_0,0.007270128
263_2_0,0.008556128
263_3_0,0.016227454
263_4_0,0.030906707
263_5_0,0.023807272
263_6_0,0.036706746
263_7_0,0.02815196
263_8_0,0.040509373
263_9_0,0.031080723
264_1_0,0.007489651
264_2_0,0.010170728
264_3_0,0.01132831
264_4_0,0.010211617
264_5_0,0.019808829
264_6_0,0.013750523
264_7_0,0.014366359
264_8_0,0.022616625
264_9_0,0.01865971
265_1_0,0.011656851
265_10_0,0.01931493
265_2_0,0.010568455
265_3_0,0.009246528
265_4_0,0.021656811
265_5_0,0.035063177
265_6_0,0.01890488
265_7_0,0.01925017
265_8_0,0.010679022
265_9_0,0.014477402
266_1_0,0.01379633
266_2_0,0.02070123
266_3_0,0.03310162
266_4_0,0.040980726
266_5_0,0.041028798
266_6_0,0.05004704
268_1_0,0.00676316
268_2_0,0.02265194
268_3_0,0.017131805
27_1_0,0.010611743
270_1_0,0.010305539
270_2_0,0.020151958
270_3_0,0.042787492
271_1_0,0.027971089
275_1_0,0.030426651
275_2_0,0.016992345
275_3_0,0.043357402
275_4_0,0.020714104
275_5_0,0.023095787
276_1_0,0.017513603
276_2_0,0.038882554
279_1_0,0.020736545
28_1_0,0.030578077
28_2_0,0.024321705
280_1_0,0.015176684
280_2_0,0.013343483
280_3_0,0.025164872
280_4_0,0.017739594
280_5_0,0.013415664
285_1_0,0.011534154
285_2_0,0.01104334
286_1_0,0.016548663
289_1_0,0.019753844
289_2_0,0.009343743
289_3_0,0.009117454
289_4_0,0.016059726
289_5_0,0.013093889
289_6_0,0.029054552
29_1_0,0.017220795
29_2_0,0.011848778
29_3_0,0.018178731
29_4_0,0.01564616
29_5_0,0.016928107
29_6_0,0.025817037
29_7_0,0.021473259
290_1_0,0.013617605
290_2_0,0.014169067
290_3_0,0.015962213
294_1_0,0.032286942
294_2_0,0.04802078
294_3_0,0.039767206
295_1_0,0.01674226
295_2_0,0.028145835
295_3_0,0.032544553
297_1_0,0.005640537
297_2_0,0.015889287
297_3_0,0.02968496
298_1_0,0.028232008
298_2_0,0.013037413
298_3_0,0.014838249
299_1_0,0.005873263
299_2_0,0.006560236
3_1_0,0.021155119
3_2_0,0.008405536
3_3_0,0.018772572
3_4_0,0.012730062
3_5_0,0.008977056
30_1_0,0.02048719
30_2_0,0.03338629
30_3_0,0.03970775
30_4_0,0.032962203
30_5_0,0.023831964
30_6_0,0.030907512
300_1_0,0.006710723
301_1_0,0.023406655
31_1_0,0.028514802
32_1_0,0.006905079
32_2_0,0.02160713
32_2_1,0.02160713
32_2_2,0.02160713
32_3_0,0.03437978
32_4_0,0.011695832
32_5_0,0.026383668
32_6_0,0.033450216
32_7_0,0.035871834
32_8_0,0.0370605
33_1_0,0.023287177
33_3_0,0.022349358
33_4_0,0.019121617
33_5_0,0.018064082
33_6_0,0.015006334
33_7_0,0.014067978
36_1_0,0.012429893
36_10_0,0.03074944
36_11_0,0.030788153
36_12_0,0.026743025
36_13_0,0.027968436
36_2_0,0.024205476
36_3_0,0.015866816
36_4_0,0.015562326
36_5_0,0.019214064
36_6_0,0.014646411
36_7_0,0.014651567
36_8_0,0.022694975
36_9_0,0.024943799
37_1_0,0.011590108
37_2_0,0.012679502
37_3_0,0.01011686
37_4_0,0.014154807
37_5_0,0.01679635
37_6_0,0.009426788
37_7_0,0.01692684
38_1_0,0.016453862
38_2_0,0.018501163
4_1_0,0.006887555
42_1_0,0.00346458
44_1_0,0.01136893
44_2_0,0.013055325
44_3_0,0.005144447
44_4_0,0.004401892
45_1_0,0.030050129
45_2_0,0.009418249
45_3_0,0.026584238
49_1_0,0.008986399
49_2_0,0.015345678
49_3_0,0.010095432
49_4_0,0.014655411
5_1_0,0.0091694
5_2_0,0.014641672
5_3_0,0.010697544
5_4_0,0.011160538
5_5_0,0.008967325
5_6_0,0.00821887
5_7_0,0.008215457
5_8_0,0.026828691
5_9_0,0.033998996
50_1_0,0.010845214
50_2_0,0.01189822
50_3_0,0.02066338
51_1_0,0.006598592
51_2_0,0.004667401
51_3_0,0.021493286
51_4_0,0.01498723
52_1_0,0.007618278
52_2_0,0.011932388
53_1_0,0.0155375
53_2_0,0.024713561
53_3_0,0.03678851
53_4_0,0.027720362
54_1_0,0.005132288
54_10_0,0.011405021
54_11_0,0.013667852
54_12_0,0.021111012
54_13_0,0.022503644
54_2_0,0.005390897
54_3_0,0.01929447
54_4_0,0.015957817
54_5_0,0.011027962
54_6_0,0.007469878
54_7_0,0.020986661
54_8_0,0.030505136
54_9_0,0.012569249
55_1_0,0.03339918
55_2_0,0.009296954
55_3_0,0.00760369
55_4_0,0.006466061
55_5_0,0.029108122
56_1_0,0.022665173
56_2_0,0.00622955
56_3_0,0.012557447
57_1_0,0.010287017
57_2_0,0.023055792
58_1_0,0.004741997
59_1_0,0.007046431
59_2_0,0.006433785
59_3_0,0.006851822
59_4_0,0.00641194
59_5_0,0.021098286
6_1_0,0.013751596
6_2_0,0.015028715
6_3_0,0.019002348
6_4_0,0.028586432
6_5_0,0.040337116
6_6_0,0.02128014
60_1_0,0.007120758
60_10_0,0.008725509
60_11_0,0.010777742
60_12_0,0.013409674
60_2_0,0.010272637
60_3_0,0.01110962
60_4_0,0.007593438
60_5_0,0.008290485
60_6_0,0.011456013
60_7_0,0.007137328
60_8_0,0.010838404
60_9_0,0.008824676
62_1_0,0.009804979
62_2_0,0.02368486
63_1_0,0.003775522
64_1_0,0.007511735
64_2_0,0.007432789
64_3_0,0.007287771
64_4_0,0.006389648
65_1_0,0.014765412
66_1_0,0.01025337
66_2_0,0.01429075
66_3_0,0.012923867
66_4_0,0.006711096
66_5_0,0.012577355
66_6_0,0.010837555
67_1_0,0.023053199
67_2_0,0.02423504
67_3_0,0.011802077
67_4_0,0.017772764
67_5_0,0.013270378
67_6_0,0.016860604
67_7_0,0.027353287
68_1_0,0.004873231
68_2_0,0.009077325
69_1_0,0.014060944
69_2_0,0.006924659
7_1_0,0.002990723
7_2_0,0.018912047
7_3_0,0.015607566
7_4_0,0.017293096
7_5_0,0.027726412
7_6_0,0.020370603
7_7_0,0.01069501
7_8_0,0.02118498
7_9_0,0.012221903
72_1_0,0.009389386
73_1_0,0.033620864
73_10_0,0.018278271
73_2_0,0.00833714
73_3_0,0.010584205
73_4_0,0.011205763
73_5_0,0.021360308
73_6_0,0.008236826
73_7_0,0.015469909
73_8_0,0.013779432
73_9_0,0.01952082
74_1_0,0.024846807
74_2_0,0.015337288
74_3_0,0.014136776
74_4_0,0.02460663
75_1_0,0.00729546
75_2_0,0.00874494
75_3_0,0.021209165
76_1_0,0.003499121
76_2_0,0.006571353
76_3_0,0.011428863
77_1_0,0.01115641
77_10_0,0.020038381
77_11_0,0.015626043
77_12_0,0.023373798
77_2_0,0.008915335
77_3_0,0.019988805
77_4_0,0.027703658
77_5_0,0.015202716
77_6_0,0.015713766
77_7_0,0.020734996
77_8_0,0.023853734
77_9_0,0.030791476
78_1_0,0.010356873
78_2_0,0.020874053
78_3_0,0.019573689
78_4_0,0.019500434
78_5_0,0.011391729
79_1_0,0.008026943
79_2_0,0.007883117
79_3_0,0.007022217
79_4_0,0.01012376
79_5_0,0.023218185
79_6_0,0.02652879
79_7_0,0.03146258
8_1_0,0.008423194
8_2_0,0.009645253
80_1_0,0.007490456
81_1_0,0.010462701
81_10_0,0.042340472
81_10_1,0.042340472
81_10_2,0.042340472
81_10_3,0.042340472
81_10_4,0.042340472
81_10_5,0.042340472
81_10_6,0.042340472
81_10_7,0.042340472
81_10_8,0.042340472
81_2_0,0.008971036
81_3_0,0.012178421
81_4_0,0.015533432
81_5_0,0.017633945
81_6_0,0.01301299
81_7_0,0.03213127
81_8_0,0.012252584
81_9_0,0.018062979
82_1_0,0.011384219
83_1_0,0.012334928
83_2_0,0.03131859
83_3_0,0.010073185
84_1_0,0.0254879
84_2_0,0.02853638
84_3_0,0.031187326
84_4_0,0.04798481
84_5_0,0.021829695
85_1_0,0.005711526
85_2_0,0.014009059
85_3_0,0.02019009
85_4_0,0.030286461
85_5_0,0.022898108
85_6_0,0.029916108
85_7_0,0.02755487
86_1_0,0.001382172
87_1_0,0.01279138
87_2_0,0.021832779
87_3_0,0.020448625
87_4_0,0.010713473
88_1_0,0.017626256
88_2_0,0.017386526
88_3_0,0.007667422
89_1_0,0.014158249
89_2_0,0.016707659
89_3_0,0.019226253
89_4_0,0.029732466
89_5_0,0.026404947
89_6_0,0.029704034
89_7_0,0.00811547
89_8_0,0.051846117
89_9_0,0.012399048
9_1_0,0.020544916
9_2_0,0.016982406
9_3_0,0.021042824
90_1_0,0.078367054
90_2_0,0.02301392
91_1_0,0.011888504
91_2_0,0.031213135
91_3_0,0.06402823
91_4_0,0.04725367
92_1_0,0.017397135
92_2_0,0.04237762
92_3_0,0.023887798
92_4_0,0.035252035
92_5_0,0.024600774
93_1_0,0.006866485
93_2_0,0.016622558
94_1_0,0.006065652
94_2_0,0.01689671
97_1_0,0.004662603
97_2_0,0.006195247
97_3_0,0.012043357
98_1_0,0.005715191
98_2_0,0.010795116
98_3_0,0.014160067
98_4_0,0.01355949
99_1_0,0.010618895
99_2_0,0.006224543
99_3_0,0.008168072
