ScanID,max_slope,autic
109_6_0,0.022036463,4.0183835
109_7_0,0.017072946,4.0960164
109_8_0,0.014632434,4.080537
11_1_0,0.015349239,3.2177968
11_2_0,0.019745916,3.2136602
11_3_0,0.010504991,3.1623182
11_4_0,0.010943711,3.1288497
110_1_0,0.03240843,2.866556
111_1_0,0.006434292,2.9990942
111_2_0,0.022435606,3.151788
111_3_0,0.022578001,3.1817007
111_4_0,0.01865083,3.0284982
111_5_0,0.025014848,3.0790436
111_6_0,0.022510469,3.1012492
111_7_0,0.019376367,3.0344732
112_1_0,0.007459626,1.8626968
112_2_0,0.04301822,2.112724
114_1_0,0.018752605,2.2456524
114_2_0,0.014161214,2.1584802
114_3_0,0.01644133,2.2087336
114_4_0,0.06800316,3.2465918
114_5_0,0.025315389,2.314772
114_6_0,0.022696719,2.2615852
114_7_0,0.025954142,2.3213549
114_8_0,0.032130137,2.3151503
115_1_0,0.017908946,2.6679456
115_10_0,0.03547719,2.97466
115_11_0,0.031030238,2.9851987
115_2_0,0.024216786,2.7996373
115_3_0,0.027492225,2.8038254
115_4_0,0.017877534,2.9178207
115_5_0,0.02301453,2.7271688
115_6_0,0.024417028,2.8224208
115_7_0,0.037976876,2.9016042
115_8_0,0.023159072,2.7211657
115_9_0,0.029524267,2.73279
116_1_0,0.019926757,3.4028335
116_2_0,0.027623922,3.7340498
116_3_0,0.022897989,3.3421714
116_4_0,0.02565223,3.4375176
116_5_0,0.027361065,3.5867875
116_6_0,0.01766473,3.4335265
116_7_0,0.04109022,3.645838
116_8_0,0.03666979,3.8492606
116_9_0,0.020295173,3.3488932
118_1_0,0.009836569,2.9863136
118_2_0,0.006763965,3.0012083
118_3_0,0.031080365,3.249856
118_4_0,0.01911053,3.1739264
118_5_0,0.016782656,3.095165
118_6_0,0.01699455,3.142552
118_7_0,0.01817374,3.0685155
119_1_0,0.027446672,2.9216099
119_2_0,0.021768332,2.6320202
12_1_0,0.011506826,3.181388
12_2_0,0.007618427,3.1452465
120_1_0,0.013442785,4.726926
120_2_0,0.01202029,4.463819
120_3_0,0.013032645,4.46743
120_4_0,0.019015223,4.676342
120_5_0,0.01642692,4.575233
120_6_0,0.020545185,4.5581913
122_1_0,0.004931271,3.0652876
122_10_0,0.004116833,3.027332
122_11_0,0.007227004,3.0473895
122_12_0,0.007194489,3.0583038
122_13_0,0.007446557,3.0619702
122_14_0,0.006526411,3.0937753
122_15_0,0.019174457,3.198509
122_16_0,0.012945324,3.1518161
122_17_0,0.008853495,3.1034982
122_18_0,0.015058443,3.165698
122_19_0,0.007329464,3.129937
122_2_0,0.007738143,3.0419054
122_20_0,0.007312343,3.0509107
122_3_0,0.004010171,3.0260215
122_4_0,0.005951971,3.0327685
122_5_0,0.005765528,3.0297875
122_6_0,0.006814152,3.068179
122_7_0,0.017755896,3.1465485
122_8_0,0.007997572,3.0527644
122_9_0,0.008674026,3.0702515
123_1_0,0.00771454,2.5841117
123_10_0,0.013433486,2.5872934
123_11_0,0.014477611,2.7295172
123_2_0,0.011185929,2.6208792
123_3_0,0.0068997,2.592184
123_4_0,0.008375302,2.6153917
123_5_0,0.007837474,2.5802314
123_6_0,0.012063295,2.540854
123_7_0,0.013918757,2.7086577
123_8_0,0.010619074,2.6104672
123_9_0,0.005945057,2.5677133
124_1_0,0.006016031,2.7278657
124_2_0,0.012243137,2.8134522
124_3_0,0.007629693,2.7301335
124_4_0,0.017086893,2.8874588
124_5_0,0.016396359,2.9204361
124_6_0,0.011072412,2.8265867
124_7_0,0.014235258,2.8306258
124_8_0,0.021877289,3.0286293
125_1_0,0.021831661,4.5101337
125_2_0,0.027491719,4.48915
125_3_0,0.028006375,4.76947
125_4_0,0.021087855,4.4415293
125_5_0,0.028510481,4.4951806
126_1_0,0.040213346,4.1036367
127_1_0,0.03561811,3.0742211
127_2_0,0.043544263,3.1439428
128_1_0,0.04110831,3.4687302
128_2_0,0.014041543,3.0346313
128_3_0,0.015809566,3.0654094
128_4_0,0.011221409,3.00401
129_1_0,0.035711616,4.567156
129_10_0,0.013368845,4.028143
129_2_0,0.015331447,4.1982594
129_2_1,0.015331447,4.1982594
129_2_2,0.015331447,4.1982594
129_2_3,0.015331447,4.1982594
129_2_4,0.015331447,4.1982594
129_3_0,0.009087652,3.8757887
129_4_0,0.00959897,3.9155064
129_5_0,0.014914781,4.019912
129_6_0,0.008704871,3.8806124
129_7_0,0.010260552,3.9038973
129_8_0,0.009109318,3.8863697
129_9_0,0.008838415,3.8453627
130_1_0,0.004476219,3.0528111
130_10_0,0.011118054,3.1557093
130_11_0,0.01127027,3.151749
130_12_0,0.015547127,3.156736
130_13_0,0.013844192,3.1888561
130_14_0,0.019774199,3.3222313
130_15_0,0.00773105,3.076564
130_2_0,0.005990475,3.114267
130_3_0,0.006349653,3.114202
130_4_0,0.006279469,3.0779016
130_5_0,0.016833246,3.2847927
130_6_0,0.007026672,3.0834033
130_7_0,0.007170022,3.1290972
130_8_0,0.006599307,3.0523899
130_9_0,0.006758541,3.0738602
131_1_0,0.007394433,3.7907574
131_2_0,0.005984128,3.8203971
132_1_0,0.011647552,4.322659
132_2_0,0.018684924,4.3615966
132_3_0,0.018386751,4.3240347
132_4_0,0.014503479,4.1971574
133_1_0,0.02707988,4.5305347
134_1_0,0.007755309,2.6248343
134_10_0,0.007189721,2.6854022
134_11_0,0.011596307,2.6203895
134_12_0,0.01357469,2.6264646
134_13_0,0.011472404,2.7302046
134_14_0,0.019971505,2.7618372
134_15_0,0.027084857,2.7545967
134_16_0,0.007345304,2.627205
134_17_0,0.020905077,2.863204
134_18_0,0.016631424,3.0357745
134_19_0,0.038850173,3.072103
134_2_0,0.015648007,2.6756046
134_3_0,0.018582836,2.8181973
134_4_0,0.007909834,2.6825182
134_5_0,0.020664558,2.8025105
134_6_0,0.03296624,2.843543
134_7_0,0.013729394,2.7619917
134_8_0,0.017866224,2.7763402
134_9_0,0.007199019,2.6968286
135_1_0,0.004926741,3.1229236
135_10_0,0.026149154,3.2598898
135_11_0,0.046425283,3.3405235
135_2_0,0.011551201,3.1843023
135_3_0,0.01734358,3.218875
135_4_0,0.012732446,3.1807375
135_5_0,0.01692012,3.1561627
135_6_0,0.015313208,3.263834
135_7_0,0.014063478,3.189062
135_8_0,0.021158576,3.2848742
135_9_0,0.019335657,3.2168734
138_1_0,0.014873773,3.3184156
138_2_0,0.015274882,3.3034854
138_3_0,0.011736393,3.2184799
139_1_0,0.013366565,2.8477519
139_2_0,0.017585412,2.7788417
139_3_0,0.005895451,2.7592664
139_4_0,0.009095565,2.6469803
139_5_0,0.022510499,2.933595
139_6_0,0.020015314,2.8649557
139_7_0,0.016156584,2.7576182
14_1_0,0.015624464,2.1443183
14_2_0,0.009479359,2.160132
14_3_0,0.015705273,2.1577482
140_1_0,0.02371785,4.9031963
140_2_0,0.013802797,4.97842
140_3_0,0.008746445,4.9568834
140_4_0,0.014137715,4.9392157
140_5_0,0.013239652,4.924272
140_6_0,0.020833373,4.9956765
140_7_0,0.017558485,5.1136084
140_8_0,0.017305166,4.963889
140_9_0,0.025185734,5.0221496
141_1_0,0.011247426,2.5416398
141_2_0,0.027711377,2.5836136
141_3_0,0.011824265,2.479946
141_4_0,0.014551193,2.503181
141_5_0,0.013812721,2.5265167
141_6_0,0.020987332,2.5676725
141_7_0,0.022270113,2.615213
143_1_0,0.020115837,2.6717262
143_2_0,0.03072603,2.8300798
143_3_0,0.03745015,2.8433192
143_4_0,0.03585422,2.8769817
143_5_0,0.015198842,2.7777286
145_1_0,0.025536656,3.7933416
146_1_0,0.005871624,2.6747348
146_2_0,0.004862338,2.715545
148_1_0,0.007200271,2.2742202
148_2_0,0.025137916,2.4682035
148_3_0,0.015608355,2.36899
148_4_0,0.015683457,2.4607632
148_5_0,0.022492021,2.4358528
148_6_0,0.017374873,2.395304
15_1_0,0.011393487,2.9213405
15_2_0,0.023396775,2.9729633
15_3_0,0.012615398,2.9358058
15_4_0,0.016828597,2.9718726
15_5_0,0.032182068,3.213821
15_6_0,0.030916736,3.133308
15_7_0,0.038802564,3.3109672
15_8_0,0.030322641,3.1646693
15_9_0,0.033755288,3.041572
152_1_0,0.013639376,2.4940784
152_2_0,0.017796233,2.5481262
152_3_0,0.03494306,2.6500688
152_4_0,0.035092205,2.7987669
152_5_0,0.026597485,2.6151237
152_6_0,0.038999543,2.6880836
152_7_0,0.018009037,2.4505496
152_8_0,0.022553816,2.5935645
152_9_0,0.03849791,2.6054463
153_1_0,0.025697008,2.819456
153_2_0,0.01935114,2.763179
153_3_0,0.014532402,2.7223227
153_4_0,0.013103426,2.7371242
153_5_0,0.02692701,2.835943
155_1_0,0.009785622,3.5861073
156_1_0,0.013143182,2.600775
156_2_0,0.010050043,2.6214385
156_3_0,0.007790327,2.5869238
158_1_0,0.057604015,4.512323
158_1_1,0.057604015,4.512323
158_1_2,0.057604015,4.512323
158_1_3,0.057604015,4.512323
158_10_0,0.025111616,3.7834578
158_11_0,0.021549672,3.8536782
158_12_0,0.019952,3.7561142
158_13_0,0.06272912,3.9777353
158_2_0,0.05602026,4.5764284
158_3_0,0.033231676,4.242833
158_4_0,0.03861749,3.965885
158_5_0,0.034378886,4.2853208
158_6_0,0.04660377,3.9981322
158_7_0,0.023511738,3.887476
158_8_0,0.051927984,4.323909
158_9_0,0.022890031,3.7652001
159_1_0,0.008258879,3.0988128
159_2_0,0.006055415,3.1311438
159_3_0,0.022530764,3.180645
159_4_0,0.021513492,3.2233615
16_1_0,0.010684371,3.2566144
16_2_0,0.012091875,3.2975044
16_3_0,0.014232993,3.4272797
16_4_0,0.033127397,3.632498
16_5_0,0.043996304,3.8196537
161_1_0,0.010818541,2.343614
161_2_0,0.016889513,2.4224994
161_3_0,0.019536555,2.484658
161_4_0,0.024526417,2.4244742
161_5_0,0.01355651,2.3951294
162_1_0,0.028360695,2.5304644
162_2_0,0.062825635,3.4242527
162_3_0,0.020439178,2.6531768
162_4_0,0.06692305,2.8587139
162_5_0,0.054318488,3.138194
162_6_0,0.043782964,2.739325
162_7_0,0.066936076,3.21896
164_1_0,0.005050659,3.429478
164_2_0,0.00807929,3.4761784
164_3_0,0.003755778,3.4181075
165_1_0,0.021215767,3.0338476
166_1_0,0.008030236,2.84454
166_2_0,0.007352218,2.872064
166_3_0,0.006748393,2.9219332
166_4_0,0.016203046,2.9551773
166_5_0,0.017485783,2.9925573
168_1_0,0.010979787,2.2437654
168_2_0,0.012631357,2.1531312
168_3_0,0.007417098,2.1855712
168_4_0,0.028956667,2.31539
17_1_0,0.008991003,2.4508832
17_2_0,0.008015797,2.5086818
170_1_0,0.010684773,2.9161904
170_2_0,0.038772553,3.3487506
170_3_0,0.022368893,2.933297
170_4_0,0.014705569,3.080128
170_5_0,0.031888634,3.0703585
171_1_0,0.009550422,4.4602633
172_1_0,0.03760627,3.8511188
172_2_0,0.022359073,3.5317242
172_3_0,0.023538113,3.545541
172_4_0,0.021265477,3.3858564
172_5_0,0.018289745,3.4853492
173_1_0,0.03039077,3.0467246
173_2_0,0.018595427,3.1867027
175_1_0,0.009829938,3.8607595
175_2_0,0.019729346,3.7684567
175_3_0,0.015485495,3.7612128
175_4_0,0.009512782,3.6662562
175_5_0,0.011963427,3.699579
175_6_0,0.013595015,3.7160535
177_1_0,0.00563702,3.5793223
178_1_0,0.010572255,4.1104517
178_2_0,0.017035753,4.1003213
178_3_0,0.013266563,4.0652604
178_4_0,0.012521923,4.1537905
178_5_0,0.022948176,4.1448984
178_6_0,0.011855423,4.1420584
179_1_0,0.013339698,2.7776968
18_1_0,0.006735981,3.6769645
18_2_0,0.011667401,3.759658
18_3_0,0.005275875,3.71802
181_1_0,0.022980034,4.737483
181_2_0,0.035163224,4.811573
181_3_0,0.039430976,4.7866054
181_4_0,0.021602213,4.5837407
182_1_0,0.04464227,3.125778
182_2_0,0.041764498,2.9413817
182_3_0,0.02928698,2.6645463
183_1_0,0.026803792,2.8239558
184_1_0,0.009201855,4.2788653
184_2_0,0.009557009,4.2697496
185_1_0,0.010880172,3.2184653
185_2_0,0.027938008,3.3237684
185_3_0,0.03588447,3.495254
186_1_0,0.012942672,3.0302594
186_2_0,0.034261256,3.3096652
186_3_0,0.010993242,2.8962507
186_4_0,0.007784382,2.9147055
188_1_0,0.01900056,2.3217137
188_2_0,0.008425444,2.2586305
188_3_0,0.011805669,2.2926884
188_4_0,0.019565582,2.3034098
188_5_0,0.021063372,2.3558776
189_1_0,0.009950891,2.7490747
189_2_0,0.018379748,2.801732
189_3_0,0.01879777,2.8155508
19_1_0,0.008567855,2.6019635
19_10_0,0.009073213,2.6084487
19_11_0,0.011152297,2.5804224
19_12_0,0.008621067,2.5900643
19_13_0,0.016468614,2.7378273
19_2_0,0.009646937,2.5995505
19_3_0,0.008280292,2.5797832
19_4_0,0.015530601,2.5786803
19_5_0,0.008130685,2.6606808
19_6_0,0.008342177,2.602861
19_7_0,0.009328514,2.6753633
19_8_0,0.011843458,2.6659913
19_9_0,0.027655408,2.773883
190_1_0,0.004153311,2.9224215
190_2_0,0.00407964,2.9133358
190_3_0,0.007110417,2.9588304
194_1_0,0.014363155,2.560262
194_2_0,0.016384661,2.5926728
194_3_0,0.014554292,2.5436409
194_4_0,0.02619487,2.7194316
194_5_0,0.02878216,2.792323
194_6_0,0.031062081,2.8572288
194_7_0,0.031115994,2.6009076
194_8_0,0.016778827,2.5918646
195_1_0,0.016527176,3.1868942
195_2_0,0.018714607,3.6111808
195_3_0,0.006295323,3.5891085
195_4_0,0.026023954,3.4393253
195_5_0,0.017962098,3.2249236
195_6_0,0.034050196,3.6042686
195_7_0,0.023836553,3.5561373
195_8_0,0.02375403,3.4138274
195_9_0,0.02837947,3.4725733
2_1_0,0.011300162,2.8108978
2_2_0,0.019342735,2.89915
20_1_0,0.018269092,2.7016034
20_2_0,0.013739064,2.6135936
20_3_0,0.013247624,2.6901586
20_4_0,0.025207907,2.7540388
200_1_0,0.01910156,4.3543572
200_2_0,0.029608399,4.4778624
201_1_0,0.033897534,2.6019824
201_2_0,0.033099294,2.502984
202_1_0,0.006811872,2.649897
202_2_0,0.00698027,2.6337833
202_3_0,0.00931327,2.6276124
202_4_0,0.004146665,2.6410284
202_5_0,0.003891394,2.6198435
202_6_0,0.006752163,2.6411948
205_1_0,0.010758206,2.658406
205_2_0,0.019966274,2.6821516
206_1_0,0.02280277,2.7253697
207_1_0,0.014931485,2.3135688
207_2_0,0.024692968,2.350786
207_3_0,0.028516665,2.33024
207_4_0,0.035100505,2.3440652
208_1_0,0.013537392,3.1922643
21_1_0,0.012512505,3.052354
21_2_0,0.02085957,3.123182
210_1_0,0.02587001,2.6486244
210_2_0,0.024035096,3.1030245
210_3_0,0.03452292,3.6013434
211_1_0,0.014517665,3.5824175
211_2_0,0.025909632,3.6595805
211_3_0,0.031017482,3.683691
212_1_0,0.018690139,3.9435601
213_1_0,0.008784711,4.006945
213_2_0,0.043584973,4.343017
213_3_0,0.04329425,4.104362
213_4_0,0.023777425,4.3913593
214_1_0,0.04288879,3.9401045
214_2_0,0.032105416,4.221809
214_3_0,0.044775367,4.325206
217_1_0,0.036396563,3.437749
217_2_0,0.019165069,3.3265662
218_1_0,0.040070474,3.1288671
218_2_0,0.019497976,2.9098194
218_3_0,0.008893847,2.7299316
218_4_0,0.010213569,2.785112
218_5_0,0.02730529,2.858833
219_1_0,0.03325066,3.2373972
219_10_0,0.021852732,3.0714998
219_2_0,0.01893884,2.8355072
219_3_0,0.028241605,3.1080089
219_4_0,0.02058664,3.0311537
219_5_0,0.027555242,3.1418037
219_6_0,0.03041479,3.0343726
219_7_0,0.026362002,3.0694964
219_8_0,0.01712896,2.9126182
219_9_0,0.02125007,2.858471
22_1_0,0.019318625,2.125135
22_2_0,0.007747069,1.9151082
22_3_0,0.0067074,1.9043387
22_4_0,0.013048902,1.9895284
22_5_0,0.019284502,2.0421386
220_1_0,0.01538223,2.2489629
220_2_0,0.02480501,2.448277
220_3_0,0.019593537,2.2930708
220_4_0,0.018546566,2.2266932
221_1_0,0.018703967,3.0974183
221_2_0,0.01665008,3.0164003
222_1_0,0.048324913,4.304491
222_2_0,0.026280463,3.875193
222_3_0,0.030890197,3.966675
222_4_0,0.020174444,3.6430871
222_5_0,0.04411146,4.076131
222_6_0,0.013051093,3.560786
222_7_0,0.033079714,3.8720524
222_8_0,0.03159198,3.764922
227_1_0,0.030812949,3.0499854
227_2_0,0.020645529,2.6672802
228_1_0,0.019012243,3.6940622
229_1_0,0.025397837,3.0514529
229_2_0,0.012721926,2.854257
229_3_0,0.012041569,2.8005743
229_4_0,0.020771682,2.8954542
229_5_0,0.022561759,2.986413
229_6_0,0.02182141,2.993988
229_7_0,0.015178949,2.8046305
229_8_0,0.019181207,2.9218822
23_1_0,0.015861616,2.8160288
23_10_0,0.016768098,2.899906
23_11_0,0.012559533,2.8330853
23_12_0,0.01592061,2.9753275
23_13_0,0.027267188,2.9808269
23_14_0,0.014467374,2.93189
23_2_0,0.012952462,2.9082532
23_3_0,0.007568434,2.8948872
23_4_0,0.011177421,2.8382444
23_5_0,0.006392017,2.8463862
23_6_0,0.01429531,2.9052691
23_7_0,0.010071024,2.9413788
23_8_0,0.023045003,3.0119956
23_9_0,0.010528535,2.8701196
230_1_0,0.014511928,2.7687805
230_2_0,0.014412507,2.8272543
231_1_0,0.016354695,2.947687
232_1_0,0.007152677,3.4364824
233_1_0,0.012315899,2.8159082
233_2_0,0.01664181,2.6848273
236_1_0,0.022519216,2.8854616
238_1_0,0.012527317,2.4269943
238_2_0,0.012267739,2.3418536
238_3_0,0.023930281,2.4705582
24_1_0,0.032678753,4.8606577
24_2_0,0.022366911,4.5721254
24_3_0,0.016260147,4.4294815
24_4_0,0.021298856,4.403412
24_5_0,0.018364727,4.5916386
240_1_0,0.011548549,3.836276
240_2_0,0.0302037,4.18958
243_1_0,0.005749434,2.7030504
243_2_0,0.005535334,2.6583302
243_3_0,0.009301707,2.7208576
243_4_0,0.007852539,2.730801
243_5_0,0.006914541,2.653512
245_1_0,0.020822972,4.3251777
245_2_0,0.021139562,4.3425503
245_3_0,0.013830155,4.249533
246_1_0,0.012296483,2.6011882
247_1_0,0.015102461,1.9395953
247_2_0,0.011218607,1.7833021
248_1_0,0.008877859,1.9375119
248_2_0,0.010777205,1.9599676
248_3_0,0.007478625,1.927328
249_1_0,0.009207621,2.7828286
25_1_0,0.013023198,3.6299098
25_10_0,0.009850293,3.5675964
25_11_0,0.028754085,3.8045664
25_12_0,0.024501354,3.8272974
25_13_0,0.014062732,3.7542605
25_14_0,0.033304602,3.9871414
25_15_0,0.02357778,3.7867827
25_2_0,0.009704143,3.5618625
25_3_0,0.009910584,3.553468
25_4_0,0.011792451,3.63436
25_5_0,0.014273733,3.7414155
25_6_0,0.014109343,3.7293286
25_7_0,0.012748301,3.7138398
25_8_0,0.011981308,3.5779097
25_9_0,0.018583506,3.7269557
251_1_0,0.04059398,3.348648
252_1_0,0.022329286,2.8472273
252_2_0,0.012730032,2.7656653
252_3_0,0.02567096,2.9980564
256_1_0,0.011050344,3.737449
256_2_0,0.011252224,3.8404174
256_3_0,0.010578662,3.7207744
256_4_0,0.008841366,3.720666
256_5_0,0.011311978,3.7846556
256_6_0,0.011782646,3.7700338
256_7_0,0.011724442,3.7183328
256_8_0,0.012970686,3.696654
256_9_0,0.012759477,3.805265
257_1_0,0.024131835,3.4369738
257_2_0,0.013297796,3.3929899
257_3_0,0.010832816,3.3702695
258_1_0,0.012003273,2.4964077
259_1_0,0.014082611,2.7425838
26_1_0,0.012820452,3.6939812
26_2_0,0.016191632,3.9985318
26_3_0,0.012413055,3.8864262
260_1_0,0.016425654,2.1165328
260_2_0,0.050352126,2.4919739
260_3_0,0.010422781,2.1223977
260_4_0,0.03496085,2.4907787
262_1_0,0.013965428,3.9495656
263_1_0,0.007270128,2.3060107
263_2_0,0.008556128,2.355301
263_3_0,0.016227454,2.4119036
263_4_0,0.030906707,2.7466543
263_5_0,0.023807272,2.5101829
263_6_0,0.036706746,2.6539333
263_7_0,0.02815196,2.5475454
263_8_0,0.040509373,2.6614342
263_9_0,0.031080723,2.6389825
264_1_0,0.007489651,3.8981688
264_2_0,0.010170728,3.9064727
264_3_0,0.01132831,3.9615467
264_4_0,0.010211617,3.9085684
264_5_0,0.019808829,4.101542
264_6_0,0.013750523,4.0748825
264_7_0,0.014366359,4.063695
264_8_0,0.022616625,4.090214
264_9_0,0.01865971,4.0817156
265_1_0,0.011656851,2.3199377
265_10_0,0.01931493,2.390499
265_2_0,0.010568455,2.3497198
265_3_0,0.009246528,2.3385603
265_4_0,0.021656811,2.5143704
265_5_0,0.035063177,2.8445363
265_6_0,0.01890488,2.4785964
265_7_0,0.01925017,2.4488828
265_8_0,0.010679022,2.3938255
265_9_0,0.014477402,2.541971
266_1_0,0.01379633,3.216784
266_2_0,0.02070123,3.4333591
266_3_0,0.03310162,3.7239234
266_4_0,0.040980726,3.4296188
266_5_0,0.041028798,3.7825541
266_6_0,0.05004704,3.893572
268_1_0,0.00676316,3.2285721
268_2_0,0.02265194,3.2940207
268_3_0,0.017131805,3.3445575
27_1_0,0.010611743,5.0071797
270_1_0,0.010305539,2.2422314
270_2_0,0.020151958,2.5723839
270_3_0,0.042787492,2.5970635
271_1_0,0.027971089,4.589487
275_1_0,0.030426651,3.0682914
275_2_0,0.016992345,2.853161
275_3_0,0.043357402,3.36025
275_4_0,0.020714104,2.8428288
275_5_0,0.023095787,3.0854485
276_1_0,0.017513603,3.3702755
276_2_0,0.038882554,3.6940765
279_1_0,0.020736545,4.0533233
28_1_0,0.030578077,4.035846
28_2_0,0.024321705,4.192474
280_1_0,0.015176684,3.2785938
280_2_0,0.013343483,3.293351
280_3_0,0.025164872,3.4049273
280_4_0,0.017739594,3.316348
280_5_0,0.013415664,3.3278189
285_1_0,0.011534154,3.4824507
285_2_0,0.01104334,3.4757345
286_1_0,0.016548663,2.6846666
289_1_0,0.019753844,4.3287544
289_2_0,0.009343743,4.1494484
289_3_0,0.009117454,4.1524243
289_4_0,0.016059726,4.2660503
289_5_0,0.013093889,4.264134
289_6_0,0.029054552,4.3529725
29_1_0,0.017220795,3.025718
29_2_0,0.011848778,2.9664793
29_3_0,0.018178731,3.0581813
29_4_0,0.01564616,3.0210886
29_5_0,0.016928107,3.0597408
29_6_0,0.025817037,3.2329895
29_7_0,0.021473259,3.0806541
290_1_0,0.013617605,3.3855495
290_2_0,0.014169067,3.3913987
290_3_0,0.015962213,3.4199767
294_1_0,0.032286942,3.3002398
294_2_0,0.04802078,4.1381917
294_3_0,0.039767206,3.6517496
295_1_0,0.01674226,2.5718746
295_2_0,0.028145835,2.720123
295_3_0,0.032544553,2.920724
297_1_0,0.005640537,3.0087643
297_2_0,0.015889287,3.1749363
297_3_0,0.02968496,3.2251158
298_1_0,0.028232008,3.4504876
298_2_0,0.013037413,3.4532833
298_3_0,0.014838249,3.4749565
299_1_0,0.005873263,2.3430238
299_2_0,0.006560236,2.3519955
3_1_0,0.021155119,2.7102425
3_2_0,0.008405536,2.556566
3_3_0,0.018772572,2.7495
3_4_0,0.012730062,2.7061589
3_5_0,0.008977056,2.553558
30_1_0,0.02048719,3.5124643
30_2_0,0.03338629,3.7619538
30_3_0,0.03970775,3.8645623
30_4_0,0.032962203,3.8136191
30_5_0,0.023831964,3.6588576
30_6_0,0.030907512,3.7240124
300_1_0,0.006710723,2.2997365
301_1_0,0.023406655,3.3716638
31_1_0,0.028514802,3.8419516
32_1_0,0.006905079,3.629485
32_2_0,0.02160713,3.871049
32_2_1,0.02160713,3.871049
32_2_2,0.02160713,3.871049
32_3_0,0.03437978,4.102826
32_4_0,0.011695832,3.6942313
32_5_0,0.026383668,3.960587
32_6_0,0.033450216,4.1209
32_7_0,0.035871834,4.051427
32_8_0,0.0370605,4.0030994
33_1_0,0.023287177,6.089607
33_3_0,0.022349358,5.8394403
33_4_0,0.019121617,5.88236
33_5_0,0.018064082,6.2420974
33_6_0,0.015006334,5.8626738
33_7_0,0.014067978,5.801326
36_1_0,0.012429893,3.34188
36_10_0,0.03074944,3.208196
36_11_0,0.030788153,3.1917117
36_12_0,0.026743025,3.1144936
36_13_0,0.027968436,2.9904244
36_2_0,0.024205476,3.1943047
36_3_0,0.015866816,3.2830007
36_4_0,0.015562326,3.2430956
36_5_0,0.019214064,3.28627
36_6_0,0.014646411,3.1332939
36_7_0,0.014651567,3.1974933
36_8_0,0.022694975,3.2621007
36_9_0,0.024943799,3.183249
37_1_0,0.011590108,2.2119598
37_2_0,0.012679502,2.2095366
37_3_0,0.01011686,2.1447675
37_4_0,0.014154807,2.1055574
37_5_0,0.01679635,2.1731517
37_6_0,0.009426788,2.116936
37_7_0,0.01692684,2.1653466
38_1_0,0.016453862,3.225443
38_2_0,0.018501163,3.194459
4_1_0,0.006887555,3.8191004
42_1_0,0.00346458,3.5355008
44_1_0,0.01136893,3.1462836
44_2_0,0.013055325,3.2078977
44_3_0,0.005144447,3.0747507
44_4_0,0.004401892,3.0636718
45_1_0,0.030050129,4.308339
45_2_0,0.009418249,3.9327722
45_3_0,0.026584238,4.377103
49_1_0,0.008986399,2.879523
49_2_0,0.015345678,2.8641217
49_3_0,0.010095432,2.864397
49_4_0,0.014655411,2.9938483
5_1_0,0.0091694,2.417225
5_2_0,0.014641672,2.394085
5_3_0,0.010697544,2.4608989
5_4_0,0.011160538,2.4553967
5_5_0,0.008967325,2.4167573
5_6_0,0.00821887,2.4196594
5_7_0,0.008215457,2.4266264
5_8_0,0.026828691,2.716508
5_9_0,0.033998996,2.6803207
50_1_0,0.010845214,4.6793566
50_2_0,0.01189822,4.653714
50_3_0,0.02066338,4.7722034
51_1_0,0.006598592,4.2286696
