auroc,eer,accuracy_at_eer,sensitivity_at_eer,specificity_at_eer,accuracy_at_sensitivity90,sensitivity_at_sensitivity90,specificity_at_sensitivity90,Method,Dataset
77.5 (+/- 7.6),28.5 (+/- 7.1),71.4 (+/- 7.3),71.8 (+/- 6.7),71.2 (+/- 7.5),46.7 (+/- 14.5),89.9 (+/- 2.3),26.1 (+/- 19.9),LogisticRegression,b_m_Chemo_LogisticRegression
77.5 (+/- 7.5),28.5 (+/- 7.1),71.4 (+/- 7.3),71.8 (+/- 6.7),71.2 (+/- 7.5),46.7 (+/- 14.5),89.9 (+/- 2.3),26.1 (+/- 19.9),LinearRegression,b_m_Chemo_LinearRegression
79.0 (+/- 3.6),28.9 (+/- 5.4),71.4 (+/- 5.4),70.1 (+/- 5.8),72.0 (+/- 5.4),52.4 (+/- 12.5),90.0 (+/- 1.9),34.3 (+/- 17.6),RandomForest,b_m_cat_all_RandomForest
79.2 (+/- 4.9),24.3 (+/- 6.7),75.9 (+/- 6.5),75.5 (+/- 7.3),76.0 (+/- 6.0),44.8 (+/- 9.8),90.6 (+/- 1.1),22.1 (+/- 14.7),SVM,b_m_cat_all_SVM
80.2 (+/- 5.7),26.6 (+/- 7.3),73.5 (+/- 7.3),73.3 (+/- 7.3),73.5 (+/- 7.4),47.1 (+/- 12.5),90.6 (+/- 1.1),25.4 (+/- 19.1),NN,b_m_cat_all_NN
82.3 (+/- 4.6),23.4 (+/- 4.8),76.3 (+/- 5.1),77.2 (+/- 4.1),76.0 (+/- 5.7),50.8 (+/- 13.5),90.6 (+/- 1.1),31.0 (+/- 20.5),LogisticRegression,b_m_cat_all_LogisticRegression
81.9 (+/- 4.8),24.0 (+/- 5.9),75.9 (+/- 5.9),76.4 (+/- 6.1),75.6 (+/- 5.7),47.5 (+/- 13.6),90.6 (+/- 1.1),26.4 (+/- 20.1),LinearRegression,b_m_cat_all_LinearRegression
70.7 (+/- 10.1),34.4 (+/- 8.3),65.8 (+/- 8.1),65.0 (+/- 8.8),66.1 (+/- 8.0),51.1 (+/- 16.1),86.1 (+/- 3.9),34.5 (+/- 22.4),RandomForest,b_m_BRCA_RandomForest
77.1 (+/- 8.2),27.2 (+/- 7.8),74.2 (+/- 7.4),68.5 (+/- 12.8),77.1 (+/- 9.3),47.9 (+/- 14.1),89.9 (+/- 2.3),27.9 (+/- 19.2),SVM,b_m_BRCA_SVM
78.7 (+/- 7.7),27.2 (+/- 7.9),72.9 (+/- 7.8),72.2 (+/- 8.2),73.3 (+/- 7.8),53.3 (+/- 15.2),89.1 (+/- 1.9),36.4 (+/- 20.9),NN,b_m_BRCA_NN
78.7 (+/- 7.7),27.2 (+/- 7.9),72.9 (+/- 7.8),72.2 (+/- 8.2),73.3 (+/- 7.8),53.5 (+/- 14.9),89.1 (+/- 1.9),36.7 (+/- 20.4),LogisticRegression,b_m_BRCA_LogisticRegression
78.7 (+/- 7.7),27.2 (+/- 7.9),72.9 (+/- 7.8),72.2 (+/- 8.2),73.3 (+/- 7.8),53.5 (+/- 14.9),89.1 (+/- 1.9),36.7 (+/- 20.4),LinearRegression,b_m_BRCA_LinearRegression
