ScanID,bounding_box_center_x,bounding_box_center_y,bounding_box_center_z
108_5_0,116.9453322,77.65211976,59.52843475
109_1_0,101.4880217,-17.75041844,-46.87692011
109_2_0,92.10630644,-39.39994591,-32.28357489
109_3_0,-105.9922203,69.96749456,12.26453158
109_4_0,-103.1055387,63.24867569,22.24945199
109_5_0,-108.1572315,74.81997485,26.8578768
109_6_0,119.8906171,65.86154969,33.77051401
109_7_0,-105.9922203,63.24867569,43.75543442
109_8_0,-108.8789019,86.39127401,47.59578843
11_1_0,130.5982714,55.52035826,70.36799998
11_2_0,-111.9151732,56.22742897,69.70755037
11_3_0,63.71034499,-44.88368231,-11.52775071
11_4_0,-100.8268003,39.96480268,-46.53157963
110_1_0,131.0966994,72.14124237,50.54918212
111_1_0,46.30997144,-14.98703289,-36.5132847
111_2_0,-103.2702882,-8.269861162,-10.86013088
111_3_0,-97.61240607,7.639229774,-8.357384163
111_4_0,-129.4379932,46.88165408,21.04988974
111_5_0,129.0564981,53.59882581,36.6920567
111_6_0,-130.1452285,51.12407833,41.07186345
111_7_0,-137.2175812,61.73013896,40.44617677
112_1_0,-66.14061401,3.408051529,-59.51214047
112_2_0,-84.21675955,40.83127032,59.66872804
114_1_0,-68.3426612,-74.12540925,7.904762268
114_2_0,-60.56488341,-77.66076279,13.52976227
114_3_0,-50.31235814,-70.23652035,12.90476227
114_4_0,-115.7163987,40.06651014,52.90476227
114_5_0,-126.6759946,72.94529808,48.52976227
114_6_0,-124.5547825,49.96550006,69.15476227
114_7_0,-119.6052876,59.15741926,69.77976227
114_8_0,-128.4436714,66.5816617,67.27976227
115_1_0,-117.733537,59.7134994,29.6416945
115_10_0,133.4225887,79.98452816,72.50051425
115_11_0,136.3817183,88.09293967,76.8590383
115_2_0,-122.9120139,73.71893745,35.45305989
115_3_0,142.6698687,66.71621842,44.17010798
115_4_0,131.9430239,64.87339763,47.80221135
115_5_0,137.8612831,74.08750161,47.80221135
115_6_0,137.4913919,82.19591312,52.16073539
115_7_0,138.9709567,69.29616754,60.1513628
115_8_0,-127.7205995,71.87611666,59.42494213
115_9_0,-124.0216875,88.46150383,61.60420415
116_1_0,-87.94887267,-80.42321008,-4.488194861
116_2_0,-112.7127006,50.9258689,34.09855442
116_3_0,-123.8384783,68.55903293,39.10054044
116_4_0,-115.224973,73.95694029,38.38597101
116_5_0,-123.4795823,66.0400095,50.53365133
116_6_0,-119.8906217,86.19219696,48.38994304
116_7_0,118.4163597,70.71819587,41.95881816
116_8_0,129.9010336,67.83931195,41.24424873
116_9_0,126.670969,78.27526617,41.24424873
118_1_0,-83.46478591,-24.47232281,-68.29396018
118_2_0,-92.53383777,6.461067224,-63.0263056
118_3_0,-129.5355693,34.84700161,2.819376576
118_4_0,-120.8292795,40.66975738,3.477833398
118_5_0,122.2213101,44.67290198,-35.37111909
118_6_0,-135.3397625,45.40074645,15.98851301
118_7_0,-137.5163349,54.1348801,23.23153805
119_1_0,-118.4816109,71.80003847,-3.006479726
119_2_0,-112.911907,89.40478136,30.27499504
12_1_0,-105.0321438,29.5370401,24.97807942
12_2_0,-109.3016192,21.71613315,42.42872837
120_1_0,-67.47605404,-66.20873464,-35.71308295
120_2_0,-78.32353603,-65.47533003,-34.37311196
120_3_0,-113.0354784,45.26876608,13.86584378
120_4_0,-117.3744712,72.40473665,44.68517661
120_5_0,-102.9111619,69.10441591,33.96540867
120_6_0,-91.34051442,64.33728594,45.3551621
122_1_0,104.6108454,15.53845841,-37.85757631
122_10_0,76.38846785,-50.92618817,14.66876871
122_11_0,-79.01323105,-36.0777033,19.2648239
122_12_0,84.96235469,-49.51204675,18.60824459
122_13_0,-128.6703256,62.20512515,35.67930672
122_14_0,-124.0261369,71.75057971,38.96220329
122_15_0,-117.2384765,57.9627009,38.30562398
122_16_0,-118.6674577,63.26573122,35.67930672
122_17_0,-130.0993068,78.11421609,44.21483779
122_18_0,112.4702416,58.66977161,52.75036886
122_19_0,-126.8840992,95.7909838,53.40694817
122_2_0,-76.86975934,-43.50194573,-10.93782449
122_20_0,120.6868832,62.55866051,58.00300336
122_3_0,87.46307168,-47.74436998,-6.998348611
122_4_0,77.46020371,-48.09790534,6.789816959
122_5_0,71.74427915,-43.14841038,5.476658334
122_6_0,99.60941136,-38.19891542,9.416134211
122_7_0,113.8992228,44.52835745,9.416134211
122_8_0,-81.15670276,-35.01709723,12.69903077
122_9_0,-67.93862722,-34.66356188,12.04245146
123_1_0,-78.10969566,-45.11360231,-26.48754112
123_10_0,-132.7362885,78.57568277,33.11001559
123_11_0,120.3669251,50.88405178,41.81527668
123_2_0,33.3285538,-34.03694991,4.985325907
123_3_0,96.69540153,-41.42138484,4.985325907
123_4_0,72.65970067,-45.8520458,15.69949341
123_5_0,82.85666467,-44.74438056,21.05657716
123_6_0,-127.2736292,61.96070418,25.74402544
123_7_0,-117.4408425,62.69914767,30.43147372
123_8_0,-122.5393245,73.40657832,31.10110919
123_9_0,84.6775511,-27.02173673,32.44038012
124_1_0,97.28500895,-33.40567179,-10.11597684
124_2_0,-104.7674723,41.26803715,23.40756257
124_3_0,-63.05107136,-23.57059793,22.73709178
124_4_0,132.109135,57.29556492,40.83980307
124_5_0,-116.7382657,56.56704093,43.52168622
124_6_0,143.717177,53.28868298,45.53309858
124_7_0,-108.3949855,51.467373,52.23780647
124_8_0,138.6386586,75.50866466,69.67004696
125_1_0,-117.3439232,80.00021724,15.73667036
125_2_0,123.4260467,78.17524521,54.7868562
125_3_0,114.7103916,99.34492076,54.7868562
125_4_0,116.1630008,81.09520046,69.52277538
125_5_0,119.0682191,101.8998816,76.89073497
126_1_0,-48.00189435,-4.665386009,68.77492035
127_1_0,102.9142715,46.74114808,56.48188782
127_2_0,104.0047008,64.9149695,71.48188782
128_1_0,83.00090053,6.074265097,-32.16561061
128_2_0,80.4869566,1.450536463,-17.74667825
128_3_0,73.66339448,-17.75572094,13.05740451
128_4_0,80.4869566,-8.863935105,13.05740451
129_1_0,56.16837227,8.125125408,-21.42407227
129_10_0,-59.43768853,-31.82436961,27.95092773
129_2_0,67.48150361,-16.26881403,-3.924072266
129_2_1,67.48150361,-16.26881403,-3.924072266
129_2_2,67.48150361,-16.26881403,-3.924072266
129_2_3,67.48150361,-16.26881403,-3.924072266
129_2_4,67.48150361,-16.26881403,-3.924072266
129_3_0,-47.77102184,-35.0061878,-10.79907227
129_4_0,-43.17506224,-7.783965528,1.075927734
129_5_0,93.28958446,-33.59204638,3.575927734
129_6_0,-77.46799159,-33.94558173,14.82592773
129_7_0,-77.46799159,8.832196116,11.70092773
129_8_0,-52.36698145,-26.5213393,12.95092773
129_9_0,103.8956451,7.064519346,13.57592773
130_1_0,65.12683485,-27.01885622,-45.86729431
130_10_0,71.84781199,-33.73983336,-10.24229431
130_11_0,81.75240987,-42.93695997,-8.367294312
130_12_0,67.60298432,-24.54270675,-0.867294312
130_13_0,-78.13609885,-31.97115517,4.757705688
130_14_0,-104.6662718,26.39522523,14.13270569
130_15_0,-58.32690308,-14.28437323,31.00770569
130_2_0,-73.18379991,-35.86224719,-38.36729431
130_3_0,-59.38810999,-39.39960358,-36.49229431
130_4_0,50.9774093,-58.50132807,-39.61729431
130_5_0,51.68488058,-66.63724777,-32.74229431
130_6_0,-77.07489193,-57.7938568,-30.86729431
130_7_0,-51.2521903,-52.48782222,-28.36729431
130_8_0,-65.04788021,-44.35190252,-10.86729431
130_9_0,-44.88494881,-35.50851155,-11.49229431
131_1_0,-69.02017241,7.92227974,-19.5941025
131_2_0,-93.47227014,-26.05453948,6.37443958
132_1_0,48.20740434,-93.83364438,31.74498321
132_2_0,125.8287998,38.96017302,50.78619616
132_3_0,137.2752729,40.3766404,48.15982196
132_4_0,-125.2782031,50.2919121,63.26147361
133_1_0,132.2517897,69.13214326,84.0425757
134_1_0,-79.71014059,-36.27145511,-16.74422148
134_10_0,-133.3016195,63.51049241,23.87482066
134_11_0,-130.7496443,71.88634932,21.87716285
134_12_0,-125.645694,87.90972776,22.54304879
134_13_0,-128.562237,83.53971545,28.53602221
134_14_0,122.9896028,64.60299549,29.86779409
134_15_0,125.1770101,72.9788524,28.53602221
134_16_0,46.43034721,-11.87221977,32.53133783
134_17_0,-125.2811261,87.18139237,53.83968781
134_18_0,119.7084919,75.89219393,54.50557374
134_19_0,119.7084919,88.63806314,49.17848625
134_2_0,-73.51248657,-10.05138131,5.230014432
134_3_0,-116.166929,53.67796474,11.22298786
134_4_0,-126.3748297,57.31964165,7.893558179
134_5_0,110.5942948,56.95547396,15.21830348
134_6_0,114.2399736,61.32548626,15.21830348
134_7_0,123.3541707,58.77631242,18.54773317
134_8_0,123.7187386,67.51633702,17.88184723
134_9_0,-120.9063115,62.78215703,22.54304879
135_1_0,65.14483392,-26.24843911,-67.41835022
135_10_0,-74.15325563,-29.16567659,-17.41835022
135_11_0,-95.30322734,36.47216666,-10.54335022
135_2_0,-62.11965103,-33.5415328,-59.91835022
135_3_0,48.73537311,-61.98459821,-51.16835022
135_4_0,62.95690582,-0.722611182,-35.54335022
135_5_0,-52.27397454,-33.90618749,-29.91835022
135_6_0,-41.334334,-33.17687812,-33.04335022
135_7_0,73.16723699,-32.81222343,-31.79335022
135_8_0,81.18964005,-42.65789992,-29.29335022
135_9_0,67.33276203,-23.69585632,-22.41835022
138_1_0,104.914269,56.99530989,75.54859352
138_2_0,-92.71199399,47.09631997,80.54859352
138_3_0,111.9849761,63.00541091,82.42359352
139_1_0,-76.20895334,49.24184262,-37.32789794
139_2_0,75.17234388,7.598883666,-31.19812889
139_3_0,-75.85107793,18.27656545,-29.835958
139_4_0,64.79395708,27.88647905,-28.4737871
139_5_0,74.09871766,-8.417639009,-10.08447996
139_6_0,111.31776,74.15643345,69.60251761
139_7_0,118.1173927,82.34265615,67.55926126
14_1_0,63.7682603,26.48075622,-43.48182033
14_2_0,45.73795724,21.03372504,-40.64285767
14_3_0,133.0611897,0.698141973,23.23380216
140_1_0,-122.6909473,63.83470736,8.965991984
140_2_0,-117.5236578,60.90180778,20.99212628
140_3_0,-94.27085519,43.6710227,57.07052916
140_4_0,-55.147092,4.443490713,49.33944283
140_5_0,-40.75249988,17.64153886,56.21151956
140_6_0,124.6007634,59.80197043,79.40477856
140_7_0,129.3989608,77.03275551,94.86695122
140_8_0,-108.6654473,56.86907084,112.9061527
140_9_0,-120.8454868,77.03275551,122.3552582
141_1_0,-104.9530641,40.87190891,25.96165187
141_2_0,129.6352955,55.73455201,80.1491734
141_3_0,-124.5323089,60.80960087,81.57516081
141_4_0,-114.3801079,54.64704154,78.72318599
141_5_0,-107.1285357,63.7096288,82.28815452
141_6_0,136.524289,67.69716719,95.1220412
141_7_0,137.6120249,83.28481727,102.9649719
143_1_0,-123.566557,69.19151588,15.83568191
143_2_0,-126.8088366,73.08959187,28.71672064
143_3_0,119.9646606,75.57018569,17.86953013
143_4_0,134.0145385,81.59448495,41.59775937
143_5_0,121.765927,81.94885549,46.34340522
145_1_0,69.10821968,-38.19543204,46.06288827
146_1_0,74.37052763,-57.5538743,75.77428257
146_2_0,-83.6250088,-30.00121454,90.48825676
148_1_0,-46.20815929,4.504649727,9.902918572
148_2_0,-93.03436905,42.82294662,14.64464919
148_3_0,124.7619554,44.64762742,39.70808243
148_4_0,-90.13041806,55.96064841,69.51324629
148_5_0,127.3029126,59.97494618,65.44890576
148_6_0,131.2958452,74.20745645,63.4167355
15_1_0,94.53755776,-27.3200397,-64.14547269
15_2_0,128.9663782,-23.71347641,-18.06155498
15_3_0,47.42443508,-54.72992064,-12.94111968
15_4_0,-88.47880343,-56.8938586,2.420186222
15_5_0,115.19485,59.23747906,24.82209066
15_6_0,112.6579896,60.31944805,33.78285244
15_7_0,-102.2503316,64.28666766,46.58394069
15_8_0,120.2685709,67.53257461,56.82481129
15_9_0,-108.4112784,63.92601133,63.86540983
152_1_0,75.45572849,-8.700527485,-3.315161823
152_2_0,-112.9527092,79.13187988,57.97006735
152_3_0,-124.2937997,80.954129,56.47530566
152_4_0,-107.0992432,61.27383855,74.41244591
152_5_0,-124.6596413,72.20733324,69.18078
152_6_0,-98.31904418,78.76743006,80.39149266
152_7_0,-97.95320255,85.32752688,78.14935012
152_8_0,-111.4893427,88.24312546,81.88625434
152_9_0,136.9171218,73.30068271,88.61268193
153_1_0,-102.8400791,33.09429658,83.18020803
153_2_0,-109.9184274,46.36433995,81.86021641
153_3_0,-104.3302577,43.04682911,92.42014935
153_4_0,-111.7811507,66.63801732,109.5800404
153_5_0,-104.3302577,60.37160795,120.1399733
155_1_0,-118.0604207,48.45060453,4.368259854
156_1_0,56.2168464,13.23230365,-1.43518357
156_2_0,58.75385903,14.31044769,12.90752593
156_3_0,68.90190952,-2.221094181,22.0347047
158_1_0,-102.4427996,16.50443769,-8.753928523
158_1_1,-102.4427996,16.50443769,-8.753928523
158_1_2,-102.4427996,16.50443769,-8.753928523
158_1_3,-102.4427996,16.50443769,-8.753928523
158_10_0,-136.1412909,85.44383174,35.96991831
158_11_0,-112.4806481,82.26201355,33.96735801
158_12_0,120.8993289,82.96908426,35.30239821
158_13_0,111.2199751,100.645852,31.2972776
158_2_0,-119.2920452,-15.66727954,-6.751368217
158_3_0,-120.367529,60.3428216,1.258873007
158_4_0,120.1823398,62.46403372,-7.418888319
158_5_0,-105.6692509,57.86807412,13.27423484
158_6_0,133.4466395,69.18120545,7.934074028
158_7_0,92.21976187,58.57514483,17.94687556
158_8_0,-122.160002,61.04989231,27.29215699
158_9_0,109.0690075,76.60544789,21.95199617
159_1_0,-97.5082088,28.9587611,28.29635709
159_2_0,118.3700205,38.85775101,61.31066834
159_3_0,127.7091785,57.94866014,63.33195271
159_4_0,118.3700205,61.83754903,73.43837452
16_1_0,-75.79857804,0.11509073,-54.58104158
16_2_0,-97.46134616,-9.438905853,-44.94724569
16_3_0,69.09337917,-55.00412032,10.63234598
16_4_0,-130.8433167,78.01690902,23.97144798
16_5_0,-108.1151665,69.19783525,34.34630509
161_1_0,93.19733858,-89.86759736,-25.66670527
161_2_0,117.5192961,51.92351907,32.81083486
161_3_0,-114.8489439,87.7367392,21.53805604
161_4_0,-115.9714958,70.19557015,37.03812692
161_5_0,122.3836876,71.29189322,55.3563925
162_1_0,156.391168,-29.12424208,-54.85012595
162_2_0,-112.5955502,-41.74481236,-41.42293923
162_3_0,-128.5247771,57.41681127,-44.61988845
162_4_0,-122.7323309,67.15267977,9.088858396
162_5_0,121.998519,79.77325006,25.71299433
162_6_0,-128.886805,84.82147817,19.95848573
162_7_0,-108.6132434,74.72502194,28.90994354
164_1_0,-62.30269664,-23.91337777,-62.55125271
164_2_0,-105.6044808,31.95299563,36.19092768
164_3_0,-117.7143018,55.26148254,38.97239755
165_1_0,118.7356686,63.57372418,-15.32303186
166_1_0,-65.03944755,-33.01088667,-39.0869751
166_2_0,90.86964363,1.635578036,-29.0869751
166_3_0,-69.2818718,-26.29371494,25.9130249
166_4_0,129.7585326,40.52446699,34.6630249
166_5_0,134.7080275,44.05982053,58.4130249
168_1_0,-101.8789618,44.62424232,-4.754528667
168_2_0,-111.2107118,52.51429102,-0.74189523
168_3_0,90.8575673,-0.922857009,12.63354956
168_4_0,143.2589328,77.26035285,65.46655649
17_1_0,-45.70388587,-2.260923869,-41.69796434
17_2_0,-46.06499584,-6.913347791,-28.60579783
170_1_0,54.14742061,-60.45797938,-31.02948151
170_2_0,-71.87021456,-24.75090861,-3.365192989
170_3_0,101.5810249,56.91575819,44.4185781
170_4_0,109.7226136,70.35010165,63.280593
170_5_0,-90.27728486,67.16828346,63.280593
171_1_0,-72.22561712,16.33214553,24.02611656
172_1_0,-120.0432085,45.41021636,3.310519579
172_2_0,-130.6159084,56.67149277,22.11510178
172_3_0,-109.0929123,54.04386161,18.5332766
172_4_0,-118.9104193,45.41021636,24.80147067
172_5_0,-123.4415764,60.0498757,36.44240251
173_1_0,-107.2640295,47.99347778,14.76238042
173_2_0,-114.4092433,71.72378187,50.43398521
175_1_0,136.4365194,49.74357069,10.41761589
175_2_0,-94.78256102,-5.139978245,23.54261589
175_3_0,-93.72029878,11.14804273,25.41761589
175_4_0,-127.358603,46.91087139,59.16761589
175_5_0,-126.2963407,50.80583293,76.04261589
175_6_0,-133.7321764,60.01210566,77.91761589
177_1_0,-54.54945539,3.531257391,-12.43216479
178_1_0,-99.5407237,-44.10336477,58.51006167
178_2_0,-95.98124799,-63.19427389,65.60928631
178_3_0,83.7722753,-57.18417287,71.41774284
178_4_0,112.248081,-26.42659706,68.8362066
178_5_0,-90.997982,-28.19427383,91.42464864
178_6_0,89.11148886,-33.14376879,95.29695299
179_1_0,116.1102438,63.41018954,74.63495825
18_1_0,96.01199167,-28.08830111,-43.70528654
18_2_0,-132.8606125,88.65741301,-32.89166214
18_3_0,45.46780848,-33.46003642,-34.24336519
181_1_0,-93.52749525,58.84473914,27.8175439
181_2_0,-87.34867961,52.06283444,42.90199841
181_3_0,-105.8851265,70.62383678,48.38725459
181_4_0,-108.7928045,73.12243325,59.35776696
182_1_0,-90.77709424,51.02893511,79.76561354
182_2_0,-110.2804638,63.42007366,86.74155241
182_3_0,-107.4436101,66.25233391,98.79090137
183_1_0,-97.76977491,88.85656828,29.86494244
184_1_0,130.183365,65.13259051,50.66749492
184_2_0,133.8741029,69.47392866,55.62872661
185_1_0,-73.10042583,-29.62369259,-3.737628721
185_2_0,-75.24372449,11.06447461,27.68998005
185_3_0,-95.6050617,38.54683316,27.68998005
186_1_0,-58.73189888,4.525777193,-36.78061291
186_2_0,110.8006914,54.88096375,-26.99351766
186_3_0,-54.05265541,12.43873508,-15.90147638
186_4_0,96.40301919,15.31617431,-8.724273193
188_1_0,148.4845658,76.47949745,-46.33826628
188_2_0,-132.9194712,78.24995727,-15.00514722
188_3_0,150.6083698,45.31940473,16.95463422
188_4_0,150.9623372,55.94216362,28.86121947
188_5_0,-133.6274058,92.76772774,42.02112947
189_1_0,142.4100792,42.89355028,-2.272018498
189_2_0,139.4457153,56.21864068,12.11361185
189_3_0,-138.0928518,100.8757004,17.14858247
19_1_0,-51.5937407,-17.81402338,-28.32762146
19_10_0,-78.46242762,-35.84432644,44.17237854
19_11_0,112.0931283,-23.11705369,44.17237854
19_12_0,-66.44222558,12.59001708,55.42237854
19_13_0,-125.1290944,54.30718887,71.04737854
19_2_0,-62.55333668,-26.65240723,-23.95262146
19_3_0,-100.3816196,-24.88473046,6.04737854
19_4_0,66.48706758,-18.52109408,5.42237854
19_5_0,111.0325222,-9.68271023,7.29737854
19_6_0,-101.795761,-3.67260921,14.79737854
19_7_0,-53.36141747,-42.56149817,29.79737854
19_8_0,-28.26040733,4.105168581,28.54737854
19_9_0,115.9820172,-15.69281125,33.54737854
190_1_0,85.13221729,3.16247195,4.498077393
190_2_0,-71.13040924,2.808936596,18.87307739
190_3_0,90.08171225,-13.45368969,50.12307739
194_1_0,56.95783764,11.08932616,-16.33434193
194_2_0,-69.71271747,-2.25525108,9.329719756
194_3_0,78.19378364,-11.89300131,17.02893826
194_4_0,-112.9297304,44.82145197,51.67542154
194_5_0,115.8223897,62.61422163,58.09143696
194_6_0,-118.5181372,55.94193301,61.94104621
194_7_0,118.0577525,74.47606807,70.28186626
194_8_0,-51.45725511,1.080893231,-25.95836506
195_1_0,-95.71272978,20.41293116,3.082095988
195_2_0,-104.5695532,31.4721226,5.030076266
195_3_0,-109.5293742,54.66074979,12.17267062
195_4_0,-121.928927,40.03407725,20.61391849
195_5_0,-112.3635577,42.53131403,34.89910719
195_6_0,-100.3182779,59.29847523,52.4309297
195_7_0,-109.8836472,68.93067422,53.72958321
195_8_0,-129.3686586,73.92514777,51.13227618
195_9_0,-117.3233788,90.33556086,54.37890997
2_1_0,98.20589709,-8.519754362,-11.81267896
2_2_0,102.2029417,0.815686857,-7.801838357
20_1_0,-84.78640398,-15.86621549,-0.543038995
20_2_0,89.01661247,-23.65369326,38.48159323
20_3_0,98.71223529,45.01770162,67.41364815
20_4_0,104.4577895,60.59265716,70.77784059
200_1_0,-100.8760598,48.31444292,-16.29891218
200_2_0,-103.8632862,39.56843506,15.50027505
201_1_0,102.2599252,19.94664643,-1.126559889
201_2_0,108.4409633,1.566310765,2.789216696
202_1_0,41.17411463,13.76139166,-40.3930852
202_2_0,-41.00599456,8.001826546,-33.29301928
202_3_0,46.55709121,21.32082088,-31.16299951
202_4_0,-70.79179832,21.32082088,-21.22290722
202_5_0,46.19822611,14.4813373,-21.93291381
202_6_0,-49.61875709,12.32150038,9.307376249
205_1_0,-124.1489628,34.20442521,86.85474569
205_2_0,-126.2734992,41.2888837,88.11403414
206_1_0,-107.1649421,58.99526872,69.43408475
207_1_0,-105.4209499,43.04105219,35.5484848
207_2_0,-111.4237463,52.42042148,54.2984848
207_3_0,-107.2968238,60.67426646,56.1734848
207_4_0,106.1776214,62.92531509,55.5484848
208_1_0,-93.11952455,52.91927064,84.3633823
21_1_0,-108.4202833,49.73710149,81.18513335
21_2_0,-110.2114168,60.46292087,78.58870131
210_1_0,70.00729728,12.0640469,27.51183621
210_2_0,115.1764918,64.03849354,55.83328481
210_3_0,109.6229023,63.68250418,67.31495316
211_1_0,74.88363606,3.75785037,35.62862426
211_2_0,118.4062985,62.7641979,57.23176157
211_3_0,115.1956102,63.48378751,70.05862435
212_1_0,-93.50765477,50.68317687,99.03699004
213_1_0,-41.76688323,-61.07861467,-2.430514641
213_2_0,-81.74825404,49.47526793,63.33403795
213_3_0,-80.67732447,44.12588652,69.02520115
213_4_0,-86.03197234,64.4535359,68.39284969
214_1_0,-86.54174726,52.61858277,32.14838768
214_2_0,-84.41524334,49.72104576,41.97466866
214_3_0,-88.31383385,70.36599696,38.4652826
217_1_0,-105.5867947,50.8912234,52.68768542
217_2_0,-111.7321844,59.29405519,29.53958383
218_1_0,-69.93073459,-36.85080016,11.13001111
218_2_0,-74.89338415,-52.75989109,13.02864357
218_3_0,-89.07238289,-67.60837597,7.332746193
218_4_0,74.34057755,7.341119111,47.20402784
218_5_0,-127.7101544,63.19970506,78.21502468
219_1_0,-99.46321858,-13.47227255,57.63214479
219_10_0,145.9628556,80.45911714,102.7492037
219_2_0,-99.46321858,54.14370836,61.7336956
219_3_0,-115.0977685,75.3422321,78.82349063
219_4_0,134.6914359,72.41829779,76.77271523
219_5_0,-124.5512173,93.61682153,81.55785784
219_6_0,-106.3715081,66.57042917,88.39377585
219_7_0,145.5992614,85.94149397,80.19067423
219_8_0,-115.8249569,74.24575673,98.64765287
219_9_0,-125.6419998,81.19010072,96.59687746
22_1_0,100.0093879,-76.17525789,-6.059236983
22_2_0,93.08322105,-44.65503565,-6.059236983
22_3_0,55.53610605,-49.47577552,-2.054519372
22_4_0,-109.2337578,-18.32637943,-6.860180505
22_5_0,110.5809057,53.24306635,38.79360026
220_1_0,103.7011037,38.08692616,66.7100056
220_2_0,100.8162209,50.76389619,66.7100056
220_3_0,-98.6013036,47.14190475,89.35539852
220_4_0,-85.25872059,61.26767135,87.09085923
221_1_0,-86.93115242,2.332843372,-2.75817911
221_2_0,-87.92822471,11.32270153,-5.476000577
222_1_0,-106.3960211,-78.45732698,-84.26933443
222_2_0,-104.3564028,-97.2501868,-63.72363281
222_3_0,-122.130219,-71.78889284,-10.77894018
222_4_0,97.27443021,-27.53473907,-6.037624427
222_5_0,-117.7596085,65.52022813,1.074349209
222_6_0,106.3070253,74.91665804,5.025445674
222_7_0,111.843132,91.58774337,24.780928
222_8_0,-109.3097615,64.91400684,16.87873507
227_1_0,-98.51045808,46.80021654,24.9253499
227_2_0,24.49802573,12.82342106,77.22712434
228_1_0,-84.98068994,57.79235195,21.10724858
229_1_0,-112.9753075,41.17138592,28.15684154
229_2_0,-70.40221384,-56.45592788,32.80243359
229_3_0,-73.28852527,-43.9852856,35.45705762
229_4_0,-102.5124285,44.02181844,43.4209297
229_5_0,54.06996669,-14.76835228,56.03039384
229_6_0,60.92495634,-29.02051488,58.02136186
229_7_0,110.3530396,53.99833226,71.958138
229_8_0,106.0235725,43.66551438,65.32157793
23_1_0,89.99175842,2.470976651,-52.26591499
23_10_0,-89.09254405,25.45077467,24.46240285
23_11_0,-78.45387262,6.359865546,28.26711282
23_12_0,-81.64547405,-10.96336681,32.70594113
23_13_0,-111.4337541,81.30936062,37.77888776
23_14_0,-89.44716644,48.78410804,43.48595272
23_2_0,31.12444315,-18.03407389,-36.41295676
23_3_0,-55.04879547,1.763905942,-30.07177347
23_4_0,78.28921984,28.63259286,-30.7058918
23_5_0,103.4674089,25.45077467,-21.82823519
23_6_0,95.31109414,40.29925954,-9.779986933
23_7_0,104.531276,4.238653421,-9.779986933
23_8_0,85.02704508,-13.79164964,13.68239125
23_9_0,60.2034784,-1.064376891,19.38945621
230_1_0,90.11412046,36.95793231,40.42907357
230_2_0,-109.1174466,39.12961328,44.22811388
231_1_0,98.78001199,51.15245343,64.76899649
232_1_0,-69.09930893,9.956056775,19.32269142
233_1_0,114.4251233,67.81216578,2.723106609
233_2_0,-62.76910153,-53.83730522,22.3837845
236_1_0,-39.61390092,10.86241315,42.26875982
238_1_0,-112.1133143,56.52720306,118.8621411
238_2_0,-124.8517492,64.34933398,117.4106747
