ScanID,bounding_box_size_z
15_4_0,12.80108825
15_5_0,19.20163238
15_6_0,21.76185003
15_7_0,21.76185003
15_8_0,16.64141473
15_9_0,17.92152355
152_1_0,10.46333181
152_2_0,10.46333181
152_3_0,13.45285518
152_4_0,22.42142531
152_5_0,11.9580935
152_6_0,13.45285518
152_7_0,8.968570123
152_8_0,10.46333181
152_9_0,11.9580935
153_1_0,13.19991617
153_2_0,13.19991617
153_3_0,15.8398994
153_4_0,23.7598491
153_5_0,23.7598491
155_1_0,13.32433215
156_1_0,15.64659218
156_2_0,10.43106145
156_3_0,10.43106145
158_1_0,57.40672877
158_1_1,57.40672877
158_1_2,57.40672877
158_1_3,57.40672877
158_10_0,13.35040204
158_11_0,25.36576388
158_12_0,25.36576388
158_13_0,12.01536184
158_2_0,16.02048245
158_3_0,10.68032163
158_4_0,22.69568347
158_5_0,21.36064327
158_6_0,16.02048245
158_7_0,9.345281428
158_8_0,12.01536184
158_9_0,12.01536184
159_1_0,14.82275199
159_2_0,32.3405498
159_3_0,9.432660359
159_4_0,18.86532072
16_1_0,10.37485711
16_2_0,11.85697956
16_3_0,10.37485711
16_4_0,22.23183667
16_5_0,16.30334689
161_1_0,11.27277882
161_2_0,15.50007088
161_3_0,15.50007088
161_4_0,21.13646029
161_5_0,15.50007088
162_1_0,21.73925468
162_2_0,28.13315311
162_3_0,8.951457808
162_4_0,16.62413593
162_5_0,26.85437342
162_6_0,12.78779687
162_7_0,15.34535624
164_1_0,18.07955415
164_2_0,12.51661441
164_3_0,9.735144545
165_1_0,10.70511637
166_1_0,11.25
166_2_0,11.25
166_3_0,8.75
166_4_0,11.25
166_5_0,11.25
168_1_0,12.03790031
168_2_0,12.03790031
168_3_0,9.362811354
168_4_0,16.05053375
17_1_0,7.855299907
17_2_0,13.09216651
170_1_0,10.05974128
170_2_0,12.5746766
170_3_0,10.05974128
170_4_0,15.08961192
170_5_0,10.05974128
171_1_0,14.37713803
172_1_0,14.32730073
172_2_0,16.11821332
172_3_0,12.53638813
172_4_0,10.74547554
172_5_0,16.11821332
173_1_0,13.10385482
173_2_0,17.47180643
175_1_0,10
175_2_0,8.75
175_3_0,12.5
175_4_0,20
175_5_0,16.25
175_6_0,15
177_1_0,10.30379024
178_1_0,18.07075363
178_2_0,9.035376815
178_3_0,23.2338261
178_4_0,12.90768116
178_5_0,9.035376815
178_6_0,11.61691305
179_1_0,13.10381387
18_1_0,14.86873355
18_2_0,17.57213966
18_3_0,9.461921353
181_1_0,9.599198323
181_2_0,9.599198323
181_3_0,12.34182642
181_4_0,20.56971069
182_1_0,11.4151727
182_2_0,10.14682018
182_3_0,16.48858279
183_1_0,19.28501686
184_1_0,9.922463388
184_2_0,5.669979079
185_1_0,10.05683481
185_2_0,12.57104351
185_3_0,12.57104351
186_1_0,7.829676199
186_2_0,9.134622233
186_3_0,10.43956827
186_4_0,11.7445143
188_1_0,10.0265981
188_2_0,10.0265981
188_3_0,18.79987144
188_4_0,17.54654667
188_5_0,18.79987144
189_1_0,10.06994124
189_2_0,12.94706731
189_3_0,20.13988248
19_1_0,8.75
19_10_0,13.75
19_11_0,18.75
19_12_0,26.25
19_13_0,12.5
19_2_0,12.5
19_3_0,10
19_4_0,13.75
19_5_0,12.5
19_6_0,40
19_7_0,15
19_8_0,17.5
19_9_0,15
190_1_0,10
190_2_0,11.25
190_3_0,11.25
194_1_0,16.6816401
194_2_0,11.54882776
194_3_0,14.11523393
194_4_0,11.54882776
194_5_0,14.11523393
194_6_0,14.11523393
194_7_0,15.39843701
194_8_0,10.26562467
195_1_0,10.38922815
195_2_0,14.28518871
195_3_0,10.38922815
195_4_0,16.88249574
195_5_0,11.68788167
195_6_0,12.98653519
195_7_0,12.98653519
195_8_0,15.58384222
195_9_0,16.88249574
2_1_0,9.358628066
2_2_0,9.358628066
20_1_0,12.11109276
20_2_0,9.419738813
20_3_0,10.76541579
20_4_0,17.49380065
200_1_0,14.1329721
200_2_0,15.54626931
201_1_0,22.18940064
201_2_0,9.13681203
202_1_0,9.940092291
202_2_0,9.940092291
202_3_0,11.36010548
202_4_0,11.36010548
202_5_0,9.940092291
202_6_0,9.940092291
205_1_0,8.815019131
205_2_0,11.33359603
206_1_0,15.10269753
207_1_0,16.25
207_2_0,18.75
207_3_0,10
207_4_0,11.25
208_1_0,16.41226821
21_1_0,11.68394417
21_2_0,14.2803762
210_1_0,10.71622379
210_2_0,12.24711291
210_3_0,13.77800202
211_1_0,10.80156866
211_2_0,13.50196082
211_3_0,12.15176474
212_1_0,17.49999957
213_1_0,8.852920541
213_2_0,13.91173228
213_3_0,10.11762348
213_4_0,11.38232641
214_1_0,9.826280978
214_2_0,9.826280978
214_3_0,11.2300354
217_1_0,9.259240634
217_2_0,10.5819893
218_1_0,18.98632459
218_2_0,17.72056962
218_3_0,11.39179476
218_4_0,10.12603978
218_5_0,26.58085443
219_1_0,35.54677367
219_10_0,16.40620323
219_2_0,10.93746882
219_3_0,12.30465242
219_4_0,10.93746882
219_5_0,12.30465242
219_6_0,12.30465242
219_7_0,9.570285218
219_8_0,13.67183603
219_9_0,12.30465242
22_1_0,11.21320931
22_2_0,20.82453158
22_3_0,12.81509635
22_4_0,9.611322266
22_5_0,14.4169834
220_1_0,13.58723575
220_2_0,10.56785003
220_3_0,13.58723575
220_4_0,12.07754289
221_1_0,13.58910734
221_2_0,13.58910734
222_1_0,12.64350869
222_2_0,9.482631515
222_3_0,11.0630701
222_4_0,11.0630701
222_5_0,15.80438586
222_6_0,11.0630701
222_7_0,15.80438586
222_8_0,12.64350869
227_1_0,19.61316541
227_2_0,6.537721805
228_1_0,17.03789308
229_1_0,11.94580813
229_2_0,10.61849611
229_3_0,7.963872084
229_4_0,10.61849611
229_5_0,11.94580813
229_6_0,10.61849611
229_7_0,11.94580813
229_8_0,11.94580813
23_1_0,10.14589327
23_10_0,8.877656609
23_11_0,8.877656609
23_12_0,10.14589327
23_13_0,15.2188399
23_14_0,21.56002319
23_2_0,8.877656609
23_3_0,8.877656609
23_4_0,10.14589327
23_5_0,15.2188399
23_6_0,8.877656609
23_7_0,11.41412993
23_8_0,10.14589327
23_9_0,11.41412993
230_1_0,13.92981447
230_2_0,13.92981447
231_1_0,13.9972648
232_1_0,29.99187903
233_1_0,8.879015821
233_2_0,17.75803164
236_1_0,16.86200114
238_1_0,8.70879868
238_2_0,11.61173157
238_3_0,10.16026513
24_1_0,17.76471551
24_2_0,12.68908251
24_3_0,10.151266
24_4_0,13.95799076
24_5_0,12.68908251
240_1_0,9.325578873
240_2_0,13.32225553
243_1_0,13.13094048
243_2_0,11.48957292
243_3_0,11.48957292
243_4_0,9.848205363
243_5_0,13.13094048
245_1_0,12.16957651
245_2_0,9.465226172
245_3_0,9.465226172
246_1_0,12.15700605
247_1_0,12.61632479
247_2_0,13.87795727
248_1_0,14.23344952
248_2_0,15.52739948
248_3_0,9.057649696
249_1_0,8.646264677
25_1_0,9.347296821
25_10_0,18.69459364
25_11_0,14.68860929
25_12_0,10.68262494
25_13_0,21.36524988
25_14_0,13.35328117
25_15_0,14.68860929
25_2_0,10.68262494
25_3_0,29.37721858
25_4_0,10.68262494
25_5_0,10.68262494
25_6_0,9.347296821
25_7_0,12.01795306
25_8_0,16.02393741
25_9_0,9.347296821
251_1_0,14.55065363
252_1_0,10.63503699
252_2_0,13.29379624
252_3_0,13.29379624
256_1_0,16.25
256_2_0,12.5
256_3_0,11.25
256_4_0,17.5
256_5_0,12.5
256_6_0,10
256_7_0,15
256_8_0,12.5
256_9_0,21.25
257_1_0,13.73886334
257_2_0,16.79194409
257_3_0,10.6857826
258_1_0,16.17292133
259_1_0,14.64064061
26_1_0,13.97801728
26_2_0,16.51947496
26_3_0,20.33166149
260_1_0,11.17277481
260_2_0,25.13874331
260_3_0,9.776177955
260_4_0,19.55235591
262_1_0,11.90514181
263_1_0,10.85965299
263_2_0,9.502196365
263_3_0,10.85965299
263_4_0,20.36184935
263_5_0,16.28947948
263_6_0,16.28947948
263_7_0,19.00439273
263_8_0,10.85965299
263_9_0,23.0767626
264_1_0,12.5
264_2_0,8.75
264_3_0,10
264_4_0,12.5
264_5_0,17.5
264_6_0,17.5
264_7_0,17.5
264_8_0,12.5
264_9_0,16.25
265_1_0,6.642795686
265_10_0,10.6284731
265_2_0,10.6284731
265_3_0,10.6284731
265_4_0,15.94270965
265_5_0,22.58550533
265_6_0,13.28559137
265_7_0,10.6284731
265_8_0,9.29991396
265_9_0,10.6284731
266_1_0,9.560653337
266_2_0,9.560653337
266_3_0,16.38969144
266_4_0,19.12130667
266_5_0,21.85292191
266_6_0,13.6580762
268_1_0,13.76886663
268_2_0,9.638206642
268_3_0,13.76886663
27_1_0,32.45102503
270_1_0,12.22942983
270_2_0,10.87060429
270_3_0,9.511778755
271_1_0,34.35015195
275_1_0,19.2693628
275_2_0,10.27699349
275_3_0,17.98473861
275_4_0,10.27699349
275_5_0,16.70011443
276_1_0,11.86989694
276_2_0,14.83737118
279_1_0,10.88295871
28_1_0,21.99363995
28_2_0,15.52492232
280_1_0,18.49506537
280_2_0,21.13721757
280_3_0,9.247532685
280_4_0,15.85291317
280_5_0,14.53183708
285_1_0,20.98456243
285_2_0,10.49228121
286_1_0,14.32996855
289_1_0,11.3298936
289_2_0,12.58877067
289_3_0,13.84764773
289_4_0,11.3298936
289_5_0,11.3298936
289_6_0,11.3298936
29_1_0,24.25756158
29_2_0,9.433496171
29_3_0,12.12878079
29_4_0,20.21463465
29_5_0,14.82406541
29_6_0,10.78113848
29_7_0,8.085853861
290_1_0,11.07703509
290_2_0,9.692405703
290_3_0,8.307776317
294_1_0,12.22246554
294_2_0,17.65467244
294_3_0,9.506362083
295_1_0,10
295_2_0,8.75
295_3_0,16.25
297_1_0,20
297_2_0,12.5
297_3_0,12.5
298_1_0,11.7493151
298_2_0,11.7493151
298_3_0,14.68664388
299_1_0,22.5
299_2_0,16.25
3_1_0,16.54721688
3_2_0,11.45576553
3_3_0,14.0014912
3_4_0,11.45576553
3_5_0,12.72862837
30_1_0,11.26945246
30_2_0,14.08681558
30_3_0,9.860770904
30_4_0,12.67813402
30_5_0,9.860770904
30_6_0,12.67813402
300_1_0,10.94678059
301_1_0,10.63755194
31_1_0,14.43446203
32_1_0,14.13921356
32_2_0,57.84223729
32_2_1,57.84223729
32_2_2,57.84223729
32_3_0,19.28074576
32_4_0,11.56844746
32_5_0,24.42227797
32_6_0,19.28074576
32_7_0,11.56844746
32_8_0,11.56844746
33_1_0,12.51994911
33_3_0,11.2679542
33_4_0,10.01595929
33_5_0,8.763964376
33_6_0,18.77992366
33_7_0,12.51994911
36_1_0,13.18368078
36_10_0,14.50204886
36_11_0,7.910208468
36_12_0,9.228576546
36_13_0,10.54694462
36_2_0,9.228576546
36_3_0,10.54694462
36_4_0,10.54694462
36_5_0,10.54694462
36_6_0,9.228576546
36_7_0,9.228576546
36_8_0,17.13878501
36_9_0,11.8653127
37_1_0,11.98430877
37_2_0,9.321129042
37_3_0,9.321129042
37_4_0,11.98430877
37_5_0,11.98430877
37_6_0,13.31589863
37_7_0,17.31066822
38_1_0,8.75
38_2_0,11.25
4_1_0,10.18388001
42_1_0,11.77848532
44_1_0,10.63459246
44_2_0,10.63459246
44_3_0,11.96391651
44_4_0,9.3052684
45_1_0,24.12566981
45_2_0,10.72251991
45_3_0,20.10472484
49_1_0,11.29570814
49_2_0,16.31602286
49_3_0,6.275393409
49_4_0,12.55078682
5_1_0,20.00036203
5_2_0,14.66693215
5_3_0,38.66736659
5_4_0,22.66707697
5_5_0,36.00065165
5_6_0,14.66693215
5_7_0,16.00028962
5_8_0,18.66700456
5_9_0,10.66685975
50_1_0,18.77375491
50_2_0,8.045894962
50_3_0,9.386877456
51_1_0,40.45098707
51_2_0,25.28186692
51_3_0,16.4332135
51_4_0,13.9050268
52_1_0,15.38160131
52_2_0,11.18661914
53_1_0,18.94797405
53_2_0,7.579189618
53_3_0,12.6319827
53_4_0,20.21117231
54_1_0,15.58431013
54_10_0,11.6882326
54_11_0,14.28561762
54_12_0,12.98692511
54_13_0,9.090847575
54_2_0,15.58431013
54_3_0,14.28561762
54_4_0,12.98692511
54_5_0,10.38954009
54_6_0,14.28561762
54_7_0,11.6882326
54_8_0,10.38954009
54_9_0,12.98692511
55_1_0,20.76003272
55_2_0,10.38001636
55_3_0,14.8285948
55_4_0,11.86287584
55_5_0,13.34573532
56_1_0,23.60987334
56_2_0,10.49327704
56_3_0,11.80493667
57_1_0,10.42988549
57_2_0,20.85977098
58_1_0,20.86807772
59_1_0,8.593042037
59_2_0,10.02521571
59_3_0,10.02521571
59_4_0,10.02521571
59_5_0,24.34695244
6_1_0,8.066413651
6_2_0,10.7552182
6_3_0,10.7552182
6_4_0,10.7552182
6_5_0,14.78842503
6_6_0,20.16603413
60_1_0,12.89893452
60_10_0,10.31914762
60_11_0,12.89893452
60_12_0,10.31914762
60_2_0,12.89893452
60_3_0,11.60904107
60_4_0,21.92818868
60_5_0,16.76861487
60_6_0,12.89893452
60_7_0,10.31914762
60_8_0,21.92818868
60_9_0,12.89893452
62_1_0,12.5
62_2_0,16.25
63_1_0,10.85392002
64_1_0,11.17444773
64_2_0,9.777641765
64_3_0,11.17444773
64_4_0,9.777641765
65_1_0,12.99843521
66_1_0,10.38587979
66_2_0,15.57881969
66_3_0,12.98234974
66_4_0,10.38587979
66_5_0,14.28058471
66_6_0,7.789409843
67_1_0,13.3707619
67_2_0,8.913841269
67_3_0,11.88512169
67_4_0,8.913841269
67_5_0,10.39948148
67_6_0,8.913841269
67_7_0,10.39948148
68_1_0,27.54751782
68_2_0,9.182505941
69_1_0,15.87131134
69_2_0,11.54277189
7_1_0,18.80182018
7_2_0,10.74389725
7_3_0,14.77285872
7_4_0,12.0868844
7_5_0,17.45883303
7_6_0,13.42987156
7_7_0,13.42987156
7_8_0,13.42987156
7_9_0,18.80182018
72_1_0,8.783036218
73_1_0,12.81278173
73_10_0,12.81278173
73_2_0,11.38913932
73_3_0,9.965496901
73_4_0,11.38913932
73_5_0,12.81278173
73_6_0,9.965496901
73_7_0,8.541854486
73_8_0,11.38913932
73_9_0,17.08370897
74_1_0,16.59314293
74_2_0,11.48756049
74_3_0,10.21116488
74_4_0,10.21116488
75_1_0,11.25
75_2_0,12.5
75_3_0,10
76_1_0,10.41278862
76_2_0,9.111190041
76_3_0,10.41278862
77_1_0,7.902037033
77_10_0,15.80407407
77_11_0,27.65712962
77_12_0,9.219043205
77_2_0,10.53604938
77_3_0,9.219043205
77_4_0,9.219043205
77_5_0,9.219043205
77_6_0,10.53604938
77_7_0,11.85305555
77_8_0,7.902037033
77_9_0,11.85305555
78_1_0,12.902539
78_2_0,11.6122851
78_3_0,15.4830468
78_4_0,18.06355459
78_5_0,32.25634749
79_1_0,10
79_2_0,11.25
79_3_0,15
79_4_0,11.25
79_5_0,16.25
79_6_0,20
79_7_0,16.25
8_1_0,9.023090608
8_2_0,11.6011165
80_1_0,11.33498138
81_1_0,12.5
81_10_0,71.25
81_10_1,71.25
81_10_2,71.25
81_10_3,71.25
81_10_4,71.25
81_10_5,71.25
81_10_6,71.25
81_10_7,71.25
81_10_8,71.25
81_2_0,10
81_3_0,7.5
81_4_0,11.25
81_5_0,11.25
81_6_0,8.75
81_7_0,16.25
81_8_0,7.5
81_9_0,15
82_1_0,9.790798861
83_1_0,12.5
83_2_0,15
83_3_0,15
84_1_0,11.41535481
84_2_0,11.41535481
84_3_0,9.988435459
84_4_0,17.12303222
84_5_0,15.69611286
85_1_0,13.09738634
85_2_0,17.46318178
85_3_0,20.37371208
85_4_0,18.91844693
85_5_0,23.28424238
85_6_0,23.28424238
85_7_0,17.46318178
86_1_0,23.5593039
87_1_0,11.45871404
87_2_0,31.82976123
87_3_0,12.73190449
87_4_0,8.912333145
88_1_0,10.63870722
88_2_0,19.94757603
88_3_0,14.62822242
89_1_0,10
89_2_0,11.25
89_3_0,18.75
89_4_0,11.25
89_5_0,12.5
89_6_0,12.5
89_7_0,20
89_8_0,11.25
89_9_0,11.25
9_1_0,7.882645893
9_2_0,14.45151747
9_3_0,18.39284042
90_1_0,13.91530382
90_2_0,11.38524858
91_1_0,13.64572999
91_2_0,10.91658399
91_3_0,13.64572999
91_4_0,10.91658399
92_1_0,12.5
92_2_0,17.5
92_3_0,15
92_4_0,30
92_5_0,7.5
93_1_0,9.974518681
93_2_0,9.974518681
94_1_0,11.89579615
94_2_0,11.89579615
97_1_0,12.5
97_2_0,10
97_3_0,11.25
98_1_0,10
98_2_0,10
98_3_0,22.5
98_4_0,22.5
99_1_0,14.28975451
99_2_0,11.69161733
99_3_0,14.28975451
